"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"KenoReach Mean Ann Fishing Days","1",2030,"CMIP5","Reduce ET 50%",247.6667,-5.89501939501758,"2"
"KenoReach Mean Ann Fishing Days","1",2030,"CMIP5","Add 30KAF",247.6667,-7.16018746161676,"2"
"KenoReach Mean Ann Fishing Days","2",2030,"CMIP3","Baseline",247.6667,3.86269127016268,"3"
"KenoReach Mean Ann Fishing Days","2",2030,"CMIP3","Reduce ET 30%",247.6667,3.60698470969252,"3"
"KenoReach Mean Ann Fishing Days","2",2030,"CMIP3","Reduce ET 50%",247.6667,3.49929966362051,"3"
"KenoReach Mean Ann Fishing Days","2",2030,"CMIP3","Add 30KAF",247.6667,2.44950168916533,"3"
"KenoReach Mean Ann Fishing Days","2",2030,"CMIP5","Baseline",247.6667,6.33916469190246,"3"
"KenoReach Mean Ann Fishing Days","2",2030,"CMIP5","Reduce ET 30%",247.6667,6.13728046604569,"3"
"KenoReach Mean Ann Fishing Days","2",2030,"CMIP5","Reduce ET 50%",247.6667,6.13728046604569,"3"
"KenoReach Mean Ann Fishing Days","2",2030,"CMIP5","Add 30KAF",247.6667,5.47776507701681,"3"
"KenoReach Mean Ann Fishing Days","3",2030,"CMIP3","Baseline",247.6667,-9.17902972018442,"2"
"KenoReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 30%",247.6667,-9.50204448155525,"2"
"KenoReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 50%",247.6667,-9.65006599595343,"2"
"KenoReach Mean Ann Fishing Days","3",2030,"CMIP3","Add 30KAF",247.6667,-10.6729729915245,"2"
"KenoReach Mean Ann Fishing Days","3",2030,"CMIP5","Baseline",247.6667,-8.41186966192871,"2"
"KenoReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 30%",247.6667,-8.90983729342701,"2"
"KenoReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 50%",247.6667,-9.13865287501307,"2"
"KenoReach Mean Ann Fishing Days","3",2030,"CMIP5","Add 30KAF",247.6667,-9.63662050651137,"2"
"KenoReach Mean Ann Fishing Days","4",2030,"CMIP3","Baseline",247.6667,10.1884104726231,"3"
"KenoReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 30%",247.6667,9.79808751035161,"3"
"KenoReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 50%",247.6667,9.60968915078208,"3"
"KenoReach Mean Ann Fishing Days","4",2030,"CMIP3","Add 30KAF",247.6667,8.97710511748248,"3"
"KenoReach Mean Ann Fishing Days","4",2030,"CMIP5","Baseline",247.6667,7.61773787109854,"3"
"KenoReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 30%",247.6667,7.37547680007041,"3"
"KenoReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 50%",247.6667,7.16014708477158,"3"
