"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"KenoReach Mean Ann Boating Days","2",2070,"CMIP3","Reduce ET 30%",171.8,-5.52968568102445,"2"
"KenoReach Mean Ann Boating Days","2",2070,"CMIP3","Reduce ET 50%",171.8,-4.79237485448196,"2"
"KenoReach Mean Ann Boating Days","2",2070,"CMIP3","Add 30KAF",171.8,-4.55954598370198,"2"
"KenoReach Mean Ann Boating Days","2",2070,"CMIP5","Baseline",171.8,-7.33410942956928,"2"
"KenoReach Mean Ann Boating Days","2",2070,"CMIP5","Reduce ET 30%",171.8,-6.61623981373691,"2"
"KenoReach Mean Ann Boating Days","2",2070,"CMIP5","Reduce ET 50%",171.8,-6.1699650756694,"2"
"KenoReach Mean Ann Boating Days","2",2070,"CMIP5","Add 30KAF",171.8,-5.54906868451689,"2"
"KenoReach Mean Ann Boating Days","3",2070,"CMIP3","Baseline",171.8,6.65500582072177,"3"
"KenoReach Mean Ann Boating Days","3",2070,"CMIP3","Reduce ET 30%",171.8,7.2952852153667,"3"
"KenoReach Mean Ann Boating Days","3",2070,"CMIP3","Reduce ET 50%",171.8,7.58632130384167,"3"
"KenoReach Mean Ann Boating Days","3",2070,"CMIP3","Add 30KAF",171.8,7.5475552968568,"3"
"KenoReach Mean Ann Boating Days","3",2070,"CMIP5","Baseline",171.8,6.3639697322468,"3"
"KenoReach Mean Ann Boating Days","3",2070,"CMIP5","Reduce ET 30%",171.8,7.04307334109429,"3"
"KenoReach Mean Ann Boating Days","3",2070,"CMIP5","Reduce ET 50%",171.8,7.10128055878928,"3"
"KenoReach Mean Ann Boating Days","3",2070,"CMIP5","Add 30KAF",171.8,7.15948777648427,"3"
"KenoReach Mean Ann Boating Days","4",2070,"CMIP3","Baseline",171.8,-17.2681606519209,"2"
"KenoReach Mean Ann Boating Days","4",2070,"CMIP3","Reduce ET 30%",171.8,-16.0845750873108,"2"
"KenoReach Mean Ann Boating Days","4",2070,"CMIP3","Reduce ET 50%",171.8,-15.3084982537835,"2"
"KenoReach Mean Ann Boating Days","4",2070,"CMIP3","Add 30KAF",171.8,-16.3950523864959,"2"
"KenoReach Mean Ann Boating Days","4",2070,"CMIP5","Baseline",171.8,-17.9666472642608,"2"
"KenoReach Mean Ann Boating Days","4",2070,"CMIP5","Reduce ET 30%",171.8,-16.5890570430733,"2"
"KenoReach Mean Ann Boating Days","4",2070,"CMIP5","Reduce ET 50%",171.8,-16.2204307334109,"2"
"KenoReach Mean Ann Boating Days","4",2070,"CMIP5","Add 30KAF",171.8,-16.4920256111758,"2"
"KenoReach Mean Ann Boating Days","5",2070,"CMIP3","Baseline",171.8,1.43579743888241,"3"
"KenoReach Mean Ann Boating Days","5",2070,"CMIP3","Reduce ET 30%",171.8,2.92974388824214,"3"
"KenoReach Mean Ann Boating Days","5",2070,"CMIP3","Reduce ET 50%",171.8,3.29842840512223,"3"
"KenoReach Mean Ann Boating Days","5",2070,"CMIP3","Add 30KAF",171.8,2.67753201396973,"3"
"KenoReach Mean Ann Boating Days","5",2070,"CMIP5","Baseline",171.8,-2.67753201396975,"2"
"KenoReach Mean Ann Boating Days","5",2070,"CMIP5","Reduce ET 30%",171.8,-1.62980209545984,"2"
"KenoReach Mean Ann Boating Days","5",2070,"CMIP5","Reduce ET 50%",171.8,-0.776076833527362,"2"
"KenoReach Mean Ann Boating Days","5",2070,"CMIP5","Add 30KAF",171.8,-1.14476135040745,"2"
"SalmonTrinityReach Mean Ann Boating Days","1",2070,"CMIP3","Baseline",213.9333,-3.1473828525059,"2"
"SalmonTrinityReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 30%",213.9333,-3.10063931141154,"2"
"SalmonTrinityReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 50%",213.9333,-3.0538957703172,"2"
"SalmonTrinityReach Mean Ann Boating Days","1",2070,"CMIP3","Add 30KAF",213.9333,-3.16294845169032,"2"
"SalmonTrinityReach Mean Ann Boating Days","1",2070,"CMIP5","Baseline",213.9333,-3.61481826344941,"2"
"SalmonTrinityReach Mean Ann Boating Days","1",2070,"CMIP5","Reduce ET 30%",213.9333,-3.58364032153948,"2"
"SalmonTrinityReach Mean Ann Boating Days","1",2070,"CMIP5","Reduce ET 50%",213.9333,-3.55250912317063,"2"
"SalmonTrinityReach Mean Ann Boating Days","1",2070,"CMIP5","Add 30KAF",213.9333,-3.61481826344941,"2"
"SalmonTrinityReach Mean Ann Boating Days","2",2070,"CMIP3","Baseline",213.9333,13.8049569655589,"3"
"SalmonTrinityReach Mean Ann Boating Days","2",2070,"CMIP3","Reduce ET 30%",213.9333,13.914009646932,"3"
"SalmonTrinityReach Mean Ann Boating Days","2",2070,"CMIP3","Reduce ET 50%",213.9333,14.1009838113094,"3"
"SalmonTrinityReach Mean Ann Boating Days","2",2070,"CMIP3","Add 30KAF",213.9333,13.9295752461164,"3"
"SalmonTrinityReach Mean Ann Boating Days","2",2070,"CMIP5","Baseline",213.9333,11.2963713456484,"3"
"SalmonTrinityReach Mean Ann Boating Days","2",2070,"CMIP5","Reduce ET 30%",213.9333,11.2028842634597,"3"
"SalmonTrinityReach Mean Ann Boating Days","2",2070,"CMIP5","Reduce ET 50%",213.9333,11.109397181271,"3"
"SalmonTrinityReach Mean Ann Boating Days","2",2070,"CMIP5","Add 30KAF",213.9333,10.9847321571724,"3"
"SalmonTrinityReach Mean Ann Boating Days","3",2070,"CMIP3","Baseline",213.9333,3.61486500699049,"3"
"SalmonTrinityReach Mean Ann Boating Days","3",2070,"CMIP3","Reduce ET 30%",213.9333,3.75509563027355,"3"
"SalmonTrinityReach Mean Ann Boating Days","3",2070,"CMIP3","Reduce ET 50%",213.9333,3.73948328754804,"3"
"SalmonTrinityReach Mean Ann Boating Days","3",2070,"CMIP3","Add 30KAF",213.9333,3.63043060617491,"3"
"SalmonTrinityReach Mean Ann Boating Days","3",2070,"CMIP5","Baseline",213.9333,2.83579040757096,"3"
"SalmonTrinityReach Mean Ann Boating Days","3",2070,"CMIP5","Reduce ET 30%",213.9333,3.22530433551018,"3"
"SalmonTrinityReach Mean Ann Boating Days","3",2070,"CMIP5","Reduce ET 50%",213.9333,3.14742959604699,"3"
"SalmonTrinityReach Mean Ann Boating Days","3",2070,"CMIP5","Add 30KAF",213.9333,2.94484308894408,"3"
"SalmonTrinityReach Mean Ann Boating Days","4",2070,"CMIP3","Baseline",213.9333,16.6407006295888,"3"
"SalmonTrinityReach Mean Ann Boating Days","4",2070,"CMIP3","Reduce ET 30%",213.9333,16.8744183350605,"3"
"SalmonTrinityReach Mean Ann Boating Days","4",2070,"CMIP3","Reduce ET 50%",213.9333,16.9835177599747,"3"
"SalmonTrinityReach Mean Ann Boating Days","4",2070,"CMIP3","Add 30KAF",213.9333,16.57839148931,"3"
"SalmonTrinityReach Mean Ann Boating Days","4",2070,"CMIP5","Baseline",213.9333,15.0670325751063,"3"
"SalmonTrinityReach Mean Ann Boating Days","4",2070,"CMIP5","Reduce ET 30%",213.9333,15.5500335852343,"3"
"SalmonTrinityReach Mean Ann Boating Days","4",2070,"CMIP5","Reduce ET 50%",213.9333,15.7214421504273,"3"
"SalmonTrinityReach Mean Ann Boating Days","4",2070,"CMIP5","Add 30KAF",213.9333,15.1605196572951,"3"
"SalmonTrinityReach Mean Ann Boating Days","5",2070,"CMIP3","Baseline",213.9333,4.65878851025063,"3"
"SalmonTrinityReach Mean Ann Boating Days","5",2070,"CMIP3","Reduce ET 30%",213.9333,4.70553205134497,"3"
"SalmonTrinityReach Mean Ann Boating Days","5",2070,"CMIP3","Reduce ET 50%",213.9333,4.70553205134497,"3"
"SalmonTrinityReach Mean Ann Boating Days","5",2070,"CMIP3","Add 30KAF",213.9333,4.6276105683407,"3"
"SalmonTrinityReach Mean Ann Boating Days","5",2070,"CMIP5","Baseline",213.9333,2.99158663003843,"3"
"SalmonTrinityReach Mean Ann Boating Days","5",2070,"CMIP5","Reduce ET 30%",213.9333,3.25648227742011,"3"
"SalmonTrinityReach Mean Ann Boating Days","5",2070,"CMIP5","Reduce ET 50%",213.9333,3.33440376042439,"3"
"SalmonTrinityReach Mean Ann Boating Days","5",2070,"CMIP5","Add 30KAF",213.9333,3.00719897276394,"3"
"ScottSalmonReach Mean Ann Boating Days","1",2070,"CMIP3","Baseline",249.2333,-7.60997828139339,"2"
"ScottSalmonReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 30%",249.2333,-7.65010133076119,"2"
"ScottSalmonReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 50%",249.2333,-7.66350242925003,"2"
"ScottSalmonReach Mean Ann Boating Days","1",2070,"CMIP3","Add 30KAF",249.2333,-7.93096267633579,"2"
"ScottSalmonReach Mean Ann Boating Days","1",2070,"CMIP5","Baseline",249.2333,-7.2756329110115,"2"
"ScottSalmonReach Mean Ann Boating Days","1",2070,"CMIP5","Reduce ET 30%",249.2333,-7.28899388645097,"2"
"ScottSalmonReach Mean Ann Boating Days","1",2070,"CMIP5","Reduce ET 50%",249.2333,-7.34251803430762,"2"
"ScottSalmonReach Mean Ann Boating Days","1",2070,"CMIP5","Add 30KAF",249.2333,-7.52973218265778,"2"
"ScottSalmonReach Mean Ann Boating Days","2",2070,"CMIP3","Baseline",249.2333,5.25611946718195,"3"
"ScottSalmonReach Mean Ann Boating Days","2",2070,"CMIP3","Reduce ET 30%",249.2333,5.29624251654974,"3"
"ScottSalmonReach Mean Ann Boating Days","2",2070,"CMIP3","Reduce ET 50%",249.2333,5.36312763984588,"3"
"ScottSalmonReach Mean Ann Boating Days","2",2070,"CMIP3","Add 30KAF",249.2333,5.26952056567079,"3"
"ScottSalmonReach Mean Ann Boating Days","2",2070,"CMIP5","Baseline",249.2333,2.39402198662858,"3"
"ScottSalmonReach Mean Ann Boating Days","2",2070,"CMIP5","Reduce ET 30%",249.2333,2.6347602828354,"3"
"ScottSalmonReach Mean Ann Boating Days","2",2070,"CMIP5","Reduce ET 50%",249.2333,2.68824430764267,"3"
"ScottSalmonReach Mean Ann Boating Days","2",2070,"CMIP5","Add 30KAF",249.2333,2.51439113473199,"3"
"ScottSalmonReach Mean Ann Boating Days","3",2070,"CMIP3","Baseline",249.2333,-3.1295978506885,"2"
"ScottSalmonReach Mean Ann Boating Days","3",2070,"CMIP3","Reduce ET 30%",249.2333,-3.15631980156745,"2"
"ScottSalmonReach Mean Ann Boating Days","3",2070,"CMIP3","Reduce ET 50%",249.2333,-3.22320492486358,"2"
"ScottSalmonReach Mean Ann Boating Days","3",2070,"CMIP3","Add 30KAF",249.2333,-3.30345102359918,"2"
"ScottSalmonReach Mean Ann Boating Days","3",2070,"CMIP5","Baseline",249.2333,-6.80751729403736,"2"
"ScottSalmonReach Mean Ann Boating Days","3",2070,"CMIP5","Reduce ET 30%",249.2333,-6.39292582491986,"2"
"ScottSalmonReach Mean Ann Boating Days","3",2070,"CMIP5","Reduce ET 50%",249.2333,-6.40628680035935,"2"
"ScottSalmonReach Mean Ann Boating Days","3",2070,"CMIP5","Add 30KAF",249.2333,-6.7005492444228,"2"
"ScottSalmonReach Mean Ann Boating Days","4",2070,"CMIP3","Baseline",249.2333,4.94853617072839,"3"
"ScottSalmonReach Mean Ann Boating Days","4",2070,"CMIP3","Reduce ET 30%",249.2333,5.38988971377419,"3"
"ScottSalmonReach Mean Ann Boating Days","4",2070,"CMIP3","Reduce ET 50%",249.2333,5.89808825706676,"3"
"ScottSalmonReach Mean Ann Boating Days","4",2070,"CMIP3","Add 30KAF",249.2333,5.05550422034295,"3"
"ScottSalmonReach Mean Ann Boating Days","4",2070,"CMIP5","Baseline",249.2333,3.42386029475194,"3"
"ScottSalmonReach Mean Ann Boating Days","4",2070,"CMIP5","Reduce ET 30%",249.2333,3.93205883804451,"3"
"ScottSalmonReach Mean Ann Boating Days","4",2070,"CMIP5","Reduce ET 50%",249.2333,3.95882091197284,"3"
"ScottSalmonReach Mean Ann Boating Days","4",2070,"CMIP5","Add 30KAF",249.2333,3.51746736892702,"3"
"ScottSalmonReach Mean Ann Boating Days","5",2070,"CMIP3","Baseline",249.2333,-2.23348966610803,"2"
"ScottSalmonReach Mean Ann Boating Days","5",2070,"CMIP3","Reduce ET 30%",249.2333,-2.36725991270027,"2"
"ScottSalmonReach Mean Ann Boating Days","5",2070,"CMIP3","Reduce ET 50%",249.2333,-2.34049783877195,"2"
"ScottSalmonReach Mean Ann Boating Days","5",2070,"CMIP3","Add 30KAF",249.2333,-2.30037478940415,"2"
"ScottSalmonReach Mean Ann Boating Days","5",2070,"CMIP5","Baseline",249.2333,-2.38062088813975,"2"
"ScottSalmonReach Mean Ann Boating Days","5",2070,"CMIP5","Reduce ET 30%",249.2333,-2.22012869066855,"2"
"ScottSalmonReach Mean Ann Boating Days","5",2070,"CMIP5","Reduce ET 50%",249.2333,-2.35385881421143,"2"
"ScottSalmonReach Mean Ann Boating Days","5",2070,"CMIP5","Add 30KAF",249.2333,-2.67484320915384,"2"
"TrinityOceanReach Mean Ann Boating Days","1",2070,"CMIP3","Baseline",252.9333,-7.0110578559644,"2"
"TrinityOceanReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 30%",252.9333,-7.02422338221184,"2"
"TrinityOceanReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 50%",252.9333,-7.0110578559644,"2"
"TrinityOceanReach Mean Ann Boating Days","1",2070,"CMIP3","Add 30KAF",252.9333,-7.09013008567872,"2"
