"measure","scenario","period","climset","value","value_hist"
"ScottSalmonReach Mean Ann Fishing Days","HD",2030,"CMIP3",211.5333,183.9667
"ScottSalmonReach Mean Ann Fishing Days","HD",2030,"CMIP5",210.2333,183.9667
"ScottSalmonReach Mean Ann Fishing Days","HW",2030,"CMIP3",183.8667,183.9667
"ScottSalmonReach Mean Ann Fishing Days","HW",2030,"CMIP5",185.2333,183.9667
"ScottSalmonReach Mean Ann Fishing Days","CT",2030,"CMIP3",188.5,183.9667
"ScottSalmonReach Mean Ann Fishing Days","CT",2030,"CMIP5",192.4,183.9667
"ScottSalmonReach Mean Ann Fishing Days","WD",2070,"CMIP3",211.1,183.9667
"ScottSalmonReach Mean Ann Fishing Days","WD",2070,"CMIP5",200.5667,183.9667
"ScottSalmonReach Mean Ann Fishing Days","WW",2070,"CMIP3",175.9,183.9667
"ScottSalmonReach Mean Ann Fishing Days","WW",2070,"CMIP5",175.3667,183.9667
"ScottSalmonReach Mean Ann Fishing Days","HD",2070,"CMIP3",216.2667,183.9667
"ScottSalmonReach Mean Ann Fishing Days","HD",2070,"CMIP5",211.2667,183.9667
"ScottSalmonReach Mean Ann Fishing Days","HW",2070,"CMIP3",194.8667,183.9667
"ScottSalmonReach Mean Ann Fishing Days","HW",2070,"CMIP5",189.6333,183.9667
"ScottSalmonReach Mean Ann Fishing Days","CT",2070,"CMIP3",192.8,183.9667
"ScottSalmonReach Mean Ann Fishing Days","CT",2070,"CMIP5",191.6,183.9667
"TrinityOceanReach Mean Ann Fishing Days","WD",2030,"CMIP3",261.8,252.9333
"TrinityOceanReach Mean Ann Fishing Days","WD",2030,"CMIP5",262.9,252.9333
"TrinityOceanReach Mean Ann Fishing Days","WW",2030,"CMIP3",232.8667,252.9333
"TrinityOceanReach Mean Ann Fishing Days","WW",2030,"CMIP5",236.8,252.9333
"TrinityOceanReach Mean Ann Fishing Days","HD",2030,"CMIP3",272.5333,252.9333
