"measure","scenario","period","climset","strategy","value","value_hist"
"IGScottReach Mean Ann Fishing Days","CT",2070,"CMIP3","Reduce ET 30%",271.6,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2070,"CMIP3","Reduce ET 50%",271.5667,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2070,"CMIP5","Add 30KAF",276.0667,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2070,"CMIP5","Baseline",276.7333,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2070,"CMIP5","Reduce ET 30%",276.2667,274.7333
"IGScottReach Mean Ann Fishing Days","CT",2070,"CMIP5","Reduce ET 50%",275.7333,274.7333
"KenoReach Mean Ann Fishing Days","WD",2030,"CMIP3","Add 30KAF",253.7333,247.6667
"KenoReach Mean Ann Fishing Days","WD",2030,"CMIP3","Baseline",257.2333,247.6667
"KenoReach Mean Ann Fishing Days","WD",2030,"CMIP3","Reduce ET 30%",256.6,247.6667
"KenoReach Mean Ann Fishing Days","WD",2030,"CMIP3","Reduce ET 50%",256.3333,247.6667
"KenoReach Mean Ann Fishing Days","WD",2030,"CMIP5","Add 30KAF",261.2333,247.6667
"KenoReach Mean Ann Fishing Days","WD",2030,"CMIP5","Baseline",263.3667,247.6667
"KenoReach Mean Ann Fishing Days","WD",2030,"CMIP5","Reduce ET 30%",262.8667,247.6667
"KenoReach Mean Ann Fishing Days","WD",2030,"CMIP5","Reduce ET 50%",262.8667,247.6667
"KenoReach Mean Ann Fishing Days","WW",2030,"CMIP3","Add 30KAF",223.1667,247.6667
"KenoReach Mean Ann Fishing Days","WW",2030,"CMIP3","Baseline",228.2,247.6667
"KenoReach Mean Ann Fishing Days","WW",2030,"CMIP3","Reduce ET 30%",227.9333,247.6667
"KenoReach Mean Ann Fishing Days","WW",2030,"CMIP3","Reduce ET 50%",228.5333,247.6667
"KenoReach Mean Ann Fishing Days","WW",2030,"CMIP5","Add 30KAF",229.9333,247.6667
"KenoReach Mean Ann Fishing Days","WW",2030,"CMIP5","Baseline",233.5667,247.6667
"KenoReach Mean Ann Fishing Days","WW",2030,"CMIP5","Reduce ET 30%",233.1667,247.6667
"KenoReach Mean Ann Fishing Days","WW",2030,"CMIP5","Reduce ET 50%",233.0667,247.6667
"KenoReach Mean Ann Fishing Days","HD",2030,"CMIP3","Add 30KAF",269.9,247.6667
"KenoReach Mean Ann Fishing Days","HD",2030,"CMIP3","Baseline",272.9,247.6667
"KenoReach Mean Ann Fishing Days","HD",2030,"CMIP3","Reduce ET 30%",271.9333,247.6667
"KenoReach Mean Ann Fishing Days","HD",2030,"CMIP3","Reduce ET 50%",271.4667,247.6667
"KenoReach Mean Ann Fishing Days","HD",2030,"CMIP5","Add 30KAF",262.6667,247.6667
"KenoReach Mean Ann Fishing Days","HD",2030,"CMIP5","Baseline",266.5333,247.6667
"KenoReach Mean Ann Fishing Days","HD",2030,"CMIP5","Reduce ET 30%",265.9333,247.6667
"KenoReach Mean Ann Fishing Days","HD",2030,"CMIP5","Reduce ET 50%",265.4,247.6667
"KenoReach Mean Ann Fishing Days","HW",2030,"CMIP3","Add 30KAF",221.2333,247.6667
"KenoReach Mean Ann Fishing Days","HW",2030,"CMIP3","Baseline",224.9333,247.6667
"KenoReach Mean Ann Fishing Days","HW",2030,"CMIP3","Reduce ET 30%",224.1333,247.6667
"KenoReach Mean Ann Fishing Days","HW",2030,"CMIP3","Reduce ET 50%",223.7667,247.6667
"KenoReach Mean Ann Fishing Days","HW",2030,"CMIP5","Add 30KAF",223.8,247.6667
"KenoReach Mean Ann Fishing Days","HW",2030,"CMIP5","Baseline",226.8333,247.6667
"KenoReach Mean Ann Fishing Days","HW",2030,"CMIP5","Reduce ET 30%",225.6,247.6667
"KenoReach Mean Ann Fishing Days","HW",2030,"CMIP5","Reduce ET 50%",225.0333,247.6667
