"measure","scenario","period","climset","strategy","value","value_hist"
"Mean Annual Shasta Flow","CT",2030,"CMIP5","Add 30KAF",195.5116,187.6871
"Mean Annual Shasta Flow","CT",2030,"CMIP5","Baseline",195.5116,187.6871
"Mean Annual Shasta Flow","CT",2030,"CMIP5","Reduce ET 30%",196.0878,187.6871
"Mean Annual Shasta Flow","CT",2030,"CMIP5","Reduce ET 50%",196.636,187.6871
"Mean Annual Shasta Flow","WD",2070,"CMIP3","Add 30KAF",172.4926,187.6871
"Mean Annual Shasta Flow","WD",2070,"CMIP3","Baseline",172.4926,187.6871
"Mean Annual Shasta Flow","WD",2070,"CMIP3","Reduce ET 30%",173.5689,187.6871
"Mean Annual Shasta Flow","WD",2070,"CMIP3","Reduce ET 50%",174.583,187.6871
"Mean Annual Shasta Flow","WD",2070,"CMIP5","Add 30KAF",177.0495,187.6871
"Mean Annual Shasta Flow","WD",2070,"CMIP5","Baseline",177.0495,187.6871
"Mean Annual Shasta Flow","WD",2070,"CMIP5","Reduce ET 30%",177.4162,187.6871
"Mean Annual Shasta Flow","WD",2070,"CMIP5","Reduce ET 50%",177.8528,187.6871
"Mean Annual Shasta Flow","WW",2070,"CMIP3","Add 30KAF",223.0565,187.6871
"Mean Annual Shasta Flow","WW",2070,"CMIP3","Baseline",223.0565,187.6871
"Mean Annual Shasta Flow","WW",2070,"CMIP3","Reduce ET 30%",222.6338,187.6871
"Mean Annual Shasta Flow","WW",2070,"CMIP3","Reduce ET 50%",222.4625,187.6871
"Mean Annual Shasta Flow","WW",2070,"CMIP5","Add 30KAF",224.3609,187.6871
"Mean Annual Shasta Flow","WW",2070,"CMIP5","Baseline",224.3609,187.6871
"Mean Annual Shasta Flow","WW",2070,"CMIP5","Reduce ET 30%",222.7186,187.6871
"Mean Annual Shasta Flow","WW",2070,"CMIP5","Reduce ET 50%",221.6878,187.6871
"Mean Annual Shasta Flow","HD",2070,"CMIP3","Add 30KAF",159.4919,187.6871
"Mean Annual Shasta Flow","HD",2070,"CMIP3","Baseline",159.4919,187.6871
"Mean Annual Shasta Flow","HD",2070,"CMIP3","Reduce ET 30%",161.7972,187.6871
"Mean Annual Shasta Flow","HD",2070,"CMIP3","Reduce ET 50%",163.8013,187.6871
"Mean Annual Shasta Flow","HD",2070,"CMIP5","Add 30KAF",164.3148,187.6871
"Mean Annual Shasta Flow","HD",2070,"CMIP5","Baseline",164.3148,187.6871
"Mean Annual Shasta Flow","HD",2070,"CMIP5","Reduce ET 30%",166.2296,187.6871
"Mean Annual Shasta Flow","HD",2070,"CMIP5","Reduce ET 50%",167.8642,187.6871
"Mean Annual Shasta Flow","HW",2070,"CMIP3","Add 30KAF",208.8059,187.6871
"Mean Annual Shasta Flow","HW",2070,"CMIP3","Baseline",208.8059,187.6871
"Mean Annual Shasta Flow","HW",2070,"CMIP3","Reduce ET 30%",209.6221,187.6871
"Mean Annual Shasta Flow","HW",2070,"CMIP3","Reduce ET 50%",210.436,187.6871
"Mean Annual Shasta Flow","HW",2070,"CMIP5","Add 30KAF",214.1093,187.6871
"Mean Annual Shasta Flow","HW",2070,"CMIP5","Baseline",214.1093,187.6871
"Mean Annual Shasta Flow","HW",2070,"CMIP5","Reduce ET 30%",215.3419,187.6871
"Mean Annual Shasta Flow","HW",2070,"CMIP5","Reduce ET 50%",216.4236,187.6871
"Mean Annual Shasta Flow","CT",2070,"CMIP3","Add 30KAF",196.5632,187.6871
"Mean Annual Shasta Flow","CT",2070,"CMIP3","Baseline",196.5632,187.6871
"Mean Annual Shasta Flow","CT",2070,"CMIP3","Reduce ET 30%",197.3168,187.6871
"Mean Annual Shasta Flow","CT",2070,"CMIP3","Reduce ET 50%",198.0679,187.6871
"Mean Annual Shasta Flow","CT",2070,"CMIP5","Add 30KAF",198.2554,187.6871
"Mean Annual Shasta Flow","CT",2070,"CMIP5","Baseline",198.2554,187.6871
"Mean Annual Shasta Flow","CT",2070,"CMIP5","Reduce ET 30%",198.9174,187.6871
"Mean Annual Shasta Flow","CT",2070,"CMIP5","Reduce ET 50%",199.6037,187.6871
"Mean Annual UKL Stg and Inflow","WD",2030,"CMIP3","Add 30KAF",1388.9935,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2030,"CMIP3","Baseline",1366.7066,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2030,"CMIP3","Reduce ET 30%",1369.1435,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2030,"CMIP3","Reduce ET 50%",1370.376,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2030,"CMIP5","Add 30KAF",1322.2676,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2030,"CMIP5","Baseline",1299.3735,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2030,"CMIP5","Reduce ET 30%",1304.0376,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2030,"CMIP5","Reduce ET 50%",1307.4504,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2030,"CMIP3","Add 30KAF",1498.1395,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2030,"CMIP3","Baseline",1478.3166,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2030,"CMIP3","Reduce ET 30%",1481.3147,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2030,"CMIP3","Reduce ET 50%",1483.3862,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2030,"CMIP5","Add 30KAF",1484.0562,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2030,"CMIP5","Baseline",1463.9046,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2030,"CMIP5","Reduce ET 30%",1466.6778,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2030,"CMIP5","Reduce ET 50%",1468.9884,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2030,"CMIP3","Add 30KAF",1279.0301,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2030,"CMIP3","Baseline",1256.1549,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2030,"CMIP3","Reduce ET 30%",1263.2747,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2030,"CMIP3","Reduce ET 50%",1268.4014,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2030,"CMIP5","Add 30KAF",1270.2047,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2030,"CMIP5","Baseline",1247.6567,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2030,"CMIP5","Reduce ET 30%",1254.6907,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2030,"CMIP5","Reduce ET 50%",1259.8615,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2030,"CMIP3","Add 30KAF",1487.6463,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2030,"CMIP3","Baseline",1467.6009,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2030,"CMIP3","Reduce ET 30%",1473.7861,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2030,"CMIP3","Reduce ET 50%",1478.208,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2030,"CMIP5","Add 30KAF",1481.3384,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2030,"CMIP5","Baseline",1461.5291,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2030,"CMIP5","Reduce ET 30%",1467.6966,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2030,"CMIP5","Reduce ET 50%",1472.1508,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2030,"CMIP3","Add 30KAF",1393.353,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2030,"CMIP3","Baseline",1372.1452,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2030,"CMIP3","Reduce ET 30%",1377.0365,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2030,"CMIP3","Reduce ET 50%",1380.2383,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2030,"CMIP5","Add 30KAF",1427.627,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2030,"CMIP5","Baseline",1407.597,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2030,"CMIP5","Reduce ET 30%",1412.8667,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2030,"CMIP5","Reduce ET 50%",1416.5688,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2070,"CMIP3","Add 30KAF",1298.571,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2070,"CMIP3","Baseline",1275.3916,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2070,"CMIP3","Reduce ET 30%",1282.6932,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2070,"CMIP3","Reduce ET 50%",1287.9586,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2070,"CMIP5","Add 30KAF",1334.6663,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2070,"CMIP5","Baseline",1311.9542,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2070,"CMIP5","Reduce ET 30%",1317.4683,1377.9978
"Mean Annual UKL Stg and Inflow","WD",2070,"CMIP5","Reduce ET 50%",1321.0846,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2070,"CMIP3","Add 30KAF",1563.868,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2070,"CMIP3","Baseline",1544.2551,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2070,"CMIP3","Reduce ET 30%",1550.3661,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2070,"CMIP3","Reduce ET 50%",1554.1082,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2070,"CMIP5","Add 30KAF",1533.7912,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2070,"CMIP5","Baseline",1514.5107,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2070,"CMIP5","Reduce ET 30%",1518.0423,1377.9978
"Mean Annual UKL Stg and Inflow","WW",2070,"CMIP5","Reduce ET 50%",1520.4991,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2070,"CMIP3","Add 30KAF",1218.6365,1377.9978
