"measure","scenario","period","climset","value","value_hist"
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP3",243.6604,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP3",251.2804,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP5",253.5896,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP5",254.6245,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP5",255.3283,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP5",262.1281,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP3",419.3867,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP3",421.0035,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP3",422.3816,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP3",431.4784,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP5",366.6051,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP5",367.5035,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP5",368.3755,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP5",377.0861,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP3",226.2618,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP3",228.7014,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP3",229.5791,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP3",235.635,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP5",249.4562,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP5",253.2138,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP5",254.6113,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP5",258.5915,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP3",447.8041,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP3",451.7019,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP3",454.7092,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP3",460.4339,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP5",448.0705,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP5",453.7729,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP5",456.4867,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP5",460.183,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP3",359.1891,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP3",361.1132,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP3",362.4263,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP3",370.8115,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP5",311.3883,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP5",313.4734,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP5",315.7974,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP5",323.0628,224.4786
