"measure","value","units","category","scenario","climset","period","strategy","value_hist","magchange"
"Iron Gate Mean Spill Volume per year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Boyle Mean Spill Days per year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Days per year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"IronGate Mean Spill Days per year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",44.1179,-0.301200000000001
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",224.4786,66.1291
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",247.6667,4.16660000000002
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",154.9,1.5333
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",220.4333,35.7
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",274.7333,5.60000000000002
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",183.9667,4.5333
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",213.9333,7.16669999999999
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",252.9333,1.66669999999999
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",171.8,5.4333
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",59,-6.8333
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",256,-55.4
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",274.7333,5.60000000000002
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",249.2333,-0.266600000000011
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",213.9333,7.16669999999999
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",252.9333,1.66669999999999
"Mean Percent Full Supply (Apr-Sep)",91.7924,"%","Water Delivery","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",1377.9978,-5.85260000000017
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",187.6871,1.2741
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",668.7854,43.3611
"Mean Annual MWAT",76.9211,"degF","Water Quality","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",75.7443,1.1768
"Mean exceedence of MWAT - Poor",13.2411,"degF","Water Quality","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",12.0643,1.1768
"Frequency Meeting Dry Year Fish Targets Scott",69.3894,"% of Days","Ecological Resources","CT","CMIP3",2070,"Baseline",70.5029,-1.1135
"Frequency Meeting Dry Year Fish Targets Shasta",56.6578,"% of Days","Ecological Resources","CT","CMIP3",2070,"Baseline",56.8769,-0.219099999999997
"Mean Annual Water Delivery to LKNWR",12.4664,"KAF","Ecological Resources","CT","CMIP3",2070,"Baseline",24.6143,-12.1479
