"measure","value","units","category","scenario","climset","period","strategy","value_hist","magchange"
"Mean Annual MWAT",80.5229,"degF","Water Quality","HW","CMIP5",2030,"Baseline",75.7443,4.77860000000001
"Mean exceedence of MWAT - Poor",16.8429,"degF","Water Quality","HW","CMIP5",2030,"Baseline",12.0643,4.7786
"Frequency Meeting Dry Year Fish Targets Scott",70.8406,"% of Days","Ecological Resources","HW","CMIP5",2030,"Add Flow
10%",70.5029,0.337699999999998
"Frequency Meeting Dry Year Fish Targets Shasta",59.9708,"% of Days","Ecological Resources","HW","CMIP5",2030,"Add Flow
10%",56.8769,3.0939
"Mean Percent of Annual Refuge Demand",13.9711,"% of Years","Ecological Resources","HW","CMIP5",2030,"Add Flow
10%",NA,NA
"Mean Annual Hydropower Generated (MW)",26524.9381,"MW","Hydropower","HW","CMIP5",2030,"Add Flow
10%",26741.1142,-216.176100000001
"Boyle Mean Spill Volume per year",393.6513,"KAF","Hydropower","HW","CMIP5",2030,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Volume per year",428.1692,"KAF","Hydropower","HW","CMIP5",2030,"Add Flow
10%",NA,NA
"Iron Gate Mean Spill Volume per year",781.547,"KAF","Hydropower","HW","CMIP5",2030,"Add Flow
10%",NA,NA
"Boyle Mean Spill Days per year",222.6333,"days","Hydropower","HW","CMIP5",2030,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Days per year",57.2667,"days","Hydropower","HW","CMIP5",2030,"Add Flow
10%",NA,NA
"IronGate Mean Spill Days per year",141.7333,"days","Hydropower","HW","CMIP5",2030,"Add Flow
10%",NA,NA
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","HW","CMIP5",2030,"Add Flow
10%",44.1179,0
"Mean Ann UKL Flood Control Release Volume",366.1015,"KAF","Flood Control","HW","CMIP5",2030,"Add Flow
10%",224.4786,141.6229
"KenoReach Mean Ann Fishing Days",226.8333,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
10%",247.6667,-20.8334
"BoyleReach Mean Ann Fishing Days",143.5333,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
10%",154.9,-11.3667
"HellsCornerReach Mean Ann Fishing Days",243.9,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
10%",220.4333,23.4667
"IGScottReach Mean Ann Fishing Days",270.2,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
10%",274.7333,-4.5333
"ScottSalmonReach Mean Ann Fishing Days",185.2333,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
10%",183.9667,1.26660000000001
"SalmonTrinityReach Mean Ann Fishing Days",214.5667,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
10%",213.9333,0.633399999999995
"TrinityOceanReach Mean Ann Fishing Days",241.6667,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
10%",252.9333,-11.2666
"KenoReach Mean Ann Boating Days",188.7667,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
10%",171.8,16.9667
"BoyleReach Mean Ann Boating Days",52.9,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
10%",59,-6.1
"HellsCornerReach Mean Ann Boating Days",181.1,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
10%",256,-74.9
"IGScottReach Mean Ann Boating Days",270.2,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
10%",274.7333,-4.5333
"ScottSalmonReach Mean Ann Boating Days",237.3333,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
10%",249.2333,-11.9
"SalmonTrinityReach Mean Ann Boating Days",214.5667,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
10%",213.9333,0.633399999999995
"TrinityOceanReach Mean Ann Boating Days",241.6667,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
10%",252.9333,-11.2666
"Mean Percent Full Supply (Apr-Sep)",94.6835,"%","Water Delivery","HW","CMIP5",2030,"Add Flow
10%",NA,NA
"Mean Annual UKL Stg and Inflow",1461.5291,"KAF","Water Delivery","HW","CMIP5",2030,"Add Flow
10%",1377.9978,83.5312999999999
"Mean Annual Shasta Flow",209.9437,"cfs","Water Delivery","HW","CMIP5",2030,"Add Flow
10%",187.6871,22.2566
"Mean Annual Scott Flow",806.3598,"cfs","Water Delivery","HW","CMIP5",2030,"Add Flow
10%",668.7854,137.5744
"Mean Annual MWAT",80.1106,"degF","Water Quality","HW","CMIP5",2030,"Add Flow
10%",75.7443,4.36630000000001
"Mean exceedence of MWAT - Poor",16.4306,"degF","Water Quality","HW","CMIP5",2030,"Add Flow
10%",12.0643,4.3663
"Frequency Meeting Dry Year Fish Targets Scott",70.8406,"% of Days","Ecological Resources","HW","CMIP5",2030,"Add Flow
20%",70.5029,0.337699999999998
"Frequency Meeting Dry Year Fish Targets Shasta",59.9708,"% of Days","Ecological Resources","HW","CMIP5",2030,"Add Flow
20%",56.8769,3.0939
"Mean Percent of Annual Refuge Demand",13.9711,"% of Years","Ecological Resources","HW","CMIP5",2030,"Add Flow
20%",NA,NA
"Mean Annual Hydropower Generated (MW)",26524.9381,"MW","Hydropower","HW","CMIP5",2030,"Add Flow
20%",26741.1142,-216.176100000001
"Boyle Mean Spill Volume per year",393.6513,"KAF","Hydropower","HW","CMIP5",2030,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Volume per year",428.1692,"KAF","Hydropower","HW","CMIP5",2030,"Add Flow
20%",NA,NA
"Iron Gate Mean Spill Volume per year",781.547,"KAF","Hydropower","HW","CMIP5",2030,"Add Flow
20%",NA,NA
"Boyle Mean Spill Days per year",222.6333,"days","Hydropower","HW","CMIP5",2030,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Days per year",57.2667,"days","Hydropower","HW","CMIP5",2030,"Add Flow
20%",NA,NA
"IronGate Mean Spill Days per year",141.7333,"days","Hydropower","HW","CMIP5",2030,"Add Flow
20%",NA,NA
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","HW","CMIP5",2030,"Add Flow
20%",44.1179,0
"Mean Ann UKL Flood Control Release Volume",366.1015,"KAF","Flood Control","HW","CMIP5",2030,"Add Flow
20%",224.4786,141.6229
"KenoReach Mean Ann Fishing Days",226.8333,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
20%",247.6667,-20.8334
"BoyleReach Mean Ann Fishing Days",143.5333,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
20%",154.9,-11.3667
"HellsCornerReach Mean Ann Fishing Days",243.9,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
20%",220.4333,23.4667
"IGScottReach Mean Ann Fishing Days",270.2,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
20%",274.7333,-4.5333
"ScottSalmonReach Mean Ann Fishing Days",185.2333,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
20%",183.9667,1.26660000000001
"SalmonTrinityReach Mean Ann Fishing Days",214.5667,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
20%",213.9333,0.633399999999995
"TrinityOceanReach Mean Ann Fishing Days",241.6667,"days","Recreation Fishing","HW","CMIP5",2030,"Add Flow
20%",252.9333,-11.2666
"KenoReach Mean Ann Boating Days",188.7667,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
20%",171.8,16.9667
"BoyleReach Mean Ann Boating Days",52.9,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
20%",59,-6.1
"HellsCornerReach Mean Ann Boating Days",181.1,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
20%",256,-74.9
"IGScottReach Mean Ann Boating Days",270.2,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
20%",274.7333,-4.5333
"ScottSalmonReach Mean Ann Boating Days",237.3333,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
20%",249.2333,-11.9
"SalmonTrinityReach Mean Ann Boating Days",214.5667,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
20%",213.9333,0.633399999999995
"TrinityOceanReach Mean Ann Boating Days",241.6667,"days","Recreation Boating","HW","CMIP5",2030,"Add Flow
20%",252.9333,-11.2666
"Mean Percent Full Supply (Apr-Sep)",94.6835,"%","Water Delivery","HW","CMIP5",2030,"Add Flow
20%",NA,NA
"Mean Annual UKL Stg and Inflow",1461.5291,"KAF","Water Delivery","HW","CMIP5",2030,"Add Flow
20%",1377.9978,83.5312999999999
"Mean Annual Shasta Flow",209.9437,"cfs","Water Delivery","HW","CMIP5",2030,"Add Flow
20%",187.6871,22.2566
"Mean Annual Scott Flow",806.3598,"cfs","Water Delivery","HW","CMIP5",2030,"Add Flow
20%",668.7854,137.5744
"Mean Annual MWAT",79.7986,"degF","Water Quality","HW","CMIP5",2030,"Add Flow
20%",75.7443,4.0543
"Mean exceedence of MWAT - Poor",16.1186,"degF","Water Quality","HW","CMIP5",2030,"Add Flow
20%",12.0643,4.0543
"Frequency Meeting Dry Year Fish Targets Scott",70.8406,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce Tribs
4degC",70.5029,0.337699999999998
"Frequency Meeting Dry Year Fish Targets Shasta",59.9708,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce Tribs
4degC",56.8769,3.0939
"Mean Percent of Annual Refuge Demand",13.9711,"% of Years","Ecological Resources","HW","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",26524.9381,"MW","Hydropower","HW","CMIP5",2030,"Reduce Tribs
4degC",26741.1142,-216.176100000001
"Boyle Mean Spill Volume per year",393.6513,"KAF","Hydropower","HW","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Volume per year",428.1692,"KAF","Hydropower","HW","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",781.547,"KAF","Hydropower","HW","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Boyle Mean Spill Days per year",222.6333,"days","Hydropower","HW","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Days per year",57.2667,"days","Hydropower","HW","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"IronGate Mean Spill Days per year",141.7333,"days","Hydropower","HW","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","HW","CMIP5",2030,"Reduce Tribs
4degC",44.1179,0
"Mean Ann UKL Flood Control Release Volume",366.1015,"KAF","Flood Control","HW","CMIP5",2030,"Reduce Tribs
4degC",224.4786,141.6229
"KenoReach Mean Ann Fishing Days",226.8333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Tribs
4degC",247.6667,-20.8334
"BoyleReach Mean Ann Fishing Days",143.5333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Tribs
4degC",154.9,-11.3667
"HellsCornerReach Mean Ann Fishing Days",243.9,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Tribs
4degC",220.4333,23.4667
"IGScottReach Mean Ann Fishing Days",270.2,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Tribs
4degC",274.7333,-4.5333
"ScottSalmonReach Mean Ann Fishing Days",185.2333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Tribs
4degC",183.9667,1.26660000000001
"SalmonTrinityReach Mean Ann Fishing Days",214.5667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Tribs
4degC",213.9333,0.633399999999995
"TrinityOceanReach Mean Ann Fishing Days",241.6667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Tribs
4degC",252.9333,-11.2666
"KenoReach Mean Ann Boating Days",188.7667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Tribs
4degC",171.8,16.9667
"BoyleReach Mean Ann Boating Days",52.9,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Tribs
4degC",59,-6.1
"HellsCornerReach Mean Ann Boating Days",181.1,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Tribs
4degC",256,-74.9
"IGScottReach Mean Ann Boating Days",270.2,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Tribs
4degC",274.7333,-4.5333
"ScottSalmonReach Mean Ann Boating Days",237.3333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Tribs
4degC",249.2333,-11.9
"SalmonTrinityReach Mean Ann Boating Days",214.5667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Tribs
4degC",213.9333,0.633399999999995
"TrinityOceanReach Mean Ann Boating Days",241.6667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Tribs
4degC",252.9333,-11.2666
"Mean Percent Full Supply (Apr-Sep)",94.6835,"%","Water Delivery","HW","CMIP5",2030,"Reduce Tribs
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1461.5291,"KAF","Water Delivery","HW","CMIP5",2030,"Reduce Tribs
4degC",1377.9978,83.5312999999999
"Mean Annual Shasta Flow",209.9437,"cfs","Water Delivery","HW","CMIP5",2030,"Reduce Tribs
4degC",187.6871,22.2566
"Mean Annual Scott Flow",806.3598,"cfs","Water Delivery","HW","CMIP5",2030,"Reduce Tribs
4degC",668.7854,137.5744
"Mean Annual MWAT",77.084,"degF","Water Quality","HW","CMIP5",2030,"Reduce Tribs
4degC",75.7443,1.33970000000001
"Mean exceedence of MWAT - Poor",13.404,"degF","Water Quality","HW","CMIP5",2030,"Reduce Tribs
4degC",12.0643,1.3397
"Frequency Meeting Dry Year Fish Targets Scott",70.8406,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",70.5029,0.337699999999998
"Frequency Meeting Dry Year Fish Targets Shasta",59.9708,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",56.8769,3.0939
"Mean Percent of Annual Refuge Demand",13.9711,"% of Years","Ecological Resources","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",26524.9381,"MW","Hydropower","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",26741.1142,-216.176100000001
"Boyle Mean Spill Volume per year",393.6513,"KAF","Hydropower","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Volume per year",428.1692,"KAF","Hydropower","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",781.547,"KAF","Hydropower","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Boyle Mean Spill Days per year",222.6333,"days","Hydropower","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Days per year",57.2667,"days","Hydropower","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"IronGate Mean Spill Days per year",141.7333,"days","Hydropower","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",44.1179,0
"Mean Ann UKL Flood Control Release Volume",366.1015,"KAF","Flood Control","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",224.4786,141.6229
"KenoReach Mean Ann Fishing Days",226.8333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",247.6667,-20.8334
"BoyleReach Mean Ann Fishing Days",143.5333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",154.9,-11.3667
"HellsCornerReach Mean Ann Fishing Days",243.9,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",220.4333,23.4667
"IGScottReach Mean Ann Fishing Days",270.2,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",274.7333,-4.5333
"ScottSalmonReach Mean Ann Fishing Days",185.2333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",183.9667,1.26660000000001
"SalmonTrinityReach Mean Ann Fishing Days",214.5667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",213.9333,0.633399999999995
"TrinityOceanReach Mean Ann Fishing Days",241.6667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",252.9333,-11.2666
"KenoReach Mean Ann Boating Days",188.7667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",171.8,16.9667
"BoyleReach Mean Ann Boating Days",52.9,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",59,-6.1
"HellsCornerReach Mean Ann Boating Days",181.1,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",256,-74.9
"IGScottReach Mean Ann Boating Days",270.2,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",274.7333,-4.5333
"ScottSalmonReach Mean Ann Boating Days",237.3333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",249.2333,-11.9
"SalmonTrinityReach Mean Ann Boating Days",214.5667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",213.9333,0.633399999999995
"TrinityOceanReach Mean Ann Boating Days",241.6667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",252.9333,-11.2666
"Mean Percent Full Supply (Apr-Sep)",94.6835,"%","Water Delivery","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1461.5291,"KAF","Water Delivery","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",1377.9978,83.5312999999999
"Mean Annual Shasta Flow",209.9437,"cfs","Water Delivery","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",187.6871,22.2566
"Mean Annual Scott Flow",806.3598,"cfs","Water Delivery","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",668.7854,137.5744
"Mean Annual MWAT",77.5263,"degF","Water Quality","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",75.7443,1.78200000000001
"Mean exceedence of MWAT - Poor",13.8463,"degF","Water Quality","HW","CMIP5",2030,"Reduce Dam
Outflow
4degC",12.0643,1.782
"Frequency Meeting Dry Year Fish Targets Scott",67.1899,"% of Days","Ecological Resources","HW","CMIP5",2070,"Baseline",70.5029,-3.313
"Frequency Meeting Dry Year Fish Targets Shasta",56.5575,"% of Days","Ecological Resources","HW","CMIP5",2070,"Baseline",56.8769,-0.319400000000002
"Mean Annual Water Delivery to LKNWR",12.208,"KAF","Ecological Resources","HW","CMIP5",2070,"Baseline",24.6143,-12.4063
"Mean Annual Hydropower Generated (MW)",26283.7877,"MW","Hydropower","HW","CMIP5",2070,"Baseline",26741.1142,-457.326499999999
"Boyle Mean Spill Volume per Year",582.7187,"KAF","Hydropower","HW","CMIP5",2070,"Baseline",163.0602,419.6585
"Copco1 Mean Spill Volume per Year",583.8971,"KAF","Hydropower","HW","CMIP5",2070,"Baseline",186.3791,397.518
"Iron Gate Mean Spill Volume per Year",951.7957,"KAF","Hydropower","HW","CMIP5",2070,"Baseline",533.8601,417.9356
"Boyle Mean Spill Days per Year",253.1,"days","Hydropower","HW","CMIP5",2070,"Baseline",105.9,147.2
"Copco1 Mean Spill Days per Year",62.4333,"days","Hydropower","HW","CMIP5",2070,"Baseline",42.8,19.6333
"Iron Gate Mean Spill Days per Year",151.8667,"days","Hydropower","HW","CMIP5",2070,"Baseline",170.3333,-18.4666
"Freq of UKL Flood Control Release",43.9263,"Percent of Days","Flood Control","HW","CMIP5",2070,"Baseline",44.1179,-0.191600000000001
"Mean Ann UKL Flood Control Release Volume",448.0705,"KAF","Flood Control","HW","CMIP5",2070,"Baseline",224.4786,223.5919
"KenoReach Mean Ann Fishing Days",207.7333,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",247.6667,-39.9334
"BoyleReach Mean Ann Fishing Days",138,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",154.9,-16.9
"HellsCornerReach Mean Ann Fishing Days",229.3,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",220.4333,8.86670000000001
"IGScottReach Mean Ann Fishing Days",247.0667,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",274.7333,-27.6666
"ScottSalmonReach Mean Ann Fishing Days",189.6333,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",183.9667,5.66659999999999
"SalmonTrinityReach Mean Ann Fishing Days",220,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",213.9333,6.0667
"TrinityOceanReach Mean Ann Fishing Days",246.7667,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",252.9333,-6.16660000000002
"KenoReach Mean Ann Boating Days",182.7333,"days","Recreation Boating","HW","CMIP5",2070,"Baseline",171.8,10.9333
"BoyleReach Mean Ann Boating Days",50.7333,"days","Recreation Boating","HW","CMIP5",2070,"Baseline",59,-8.2667
"HellsCornerReach Mean Ann Boating Days",165.5333,"days","Recreation Boating","HW","CMIP5",2070,"Baseline",256,-90.4667
"IGScottReach Mean Ann Boating Days",247.0667,"days","Recreation Boating","HW","CMIP5",2070,"Baseline",274.7333,-27.6666
"ScottSalmonReach Mean Ann Boating Days",232.2667,"days","Recreation Boating","HW","CMIP5",2070,"Baseline",249.2333,-16.9666
"SalmonTrinityReach Mean Ann Boating Days",220,"days","Recreation Boating","HW","CMIP5",2070,"Baseline",213.9333,6.0667
"TrinityOceanReach Mean Ann Boating Days",246.7667,"days","Recreation Boating","HW","CMIP5",2070,"Baseline",252.9333,-6.16660000000002
"Mean Project Supply (Apr-Sep)",368.422,"KAF","Water Delivery","HW","CMIP5",2070,"Baseline",361.3104,7.11160000000001
"Mean Annual UKL Stg and Inflow",1495.9553,"KAF","Water Delivery","HW","CMIP5",2070,"Baseline",1377.9978,117.9575
"Mean Annual Shasta Flow",214.1093,"cfs","Water Delivery","HW","CMIP5",2070,"Baseline",187.6871,26.4222
"Mean Annual Scott Flow",839.7791,"cfs","Water Delivery","HW","CMIP5",2070,"Baseline",668.7854,170.9937
"Mean Annual MWAT",83.6583,"degF","Water Quality","HW","CMIP5",2070,"Baseline",75.7443,7.914
"Mean exceedence of MWAT - Poor",19.9783,"degF","Water Quality","HW","CMIP5",2070,"Baseline",12.0643,7.914
"Frequency Meeting Dry Year Fish Targets Scott",67.1899,"% of Days","Ecological Resources","HW","CMIP5",2070,"Add Flow
10%",70.5029,-3.313
"Frequency Meeting Dry Year Fish Targets Shasta",56.5575,"% of Days","Ecological Resources","HW","CMIP5",2070,"Add Flow
10%",56.8769,-0.319400000000002
"Mean Percent of Annual Refuge Demand",12.7966,"% of Years","Ecological Resources","HW","CMIP5",2070,"Add Flow
10%",NA,NA
"Mean Annual Hydropower Generated (MW)",26283.7877,"MW","Hydropower","HW","CMIP5",2070,"Add Flow
10%",26741.1142,-457.326499999999
"Boyle Mean Spill Volume per year",582.7187,"KAF","Hydropower","HW","CMIP5",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Volume per year",583.8971,"KAF","Hydropower","HW","CMIP5",2070,"Add Flow
10%",NA,NA
"Iron Gate Mean Spill Volume per year",951.7957,"KAF","Hydropower","HW","CMIP5",2070,"Add Flow
10%",NA,NA
"Boyle Mean Spill Days per year",253.1,"days","Hydropower","HW","CMIP5",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Days per year",62.4333,"days","Hydropower","HW","CMIP5",2070,"Add Flow
10%",NA,NA
"IronGate Mean Spill Days per year",151.8667,"days","Hydropower","HW","CMIP5",2070,"Add Flow
10%",NA,NA
"Freq of UKL Flood Control Release",43.9263,"Percent of Days","Flood Control","HW","CMIP5",2070,"Add Flow
10%",44.1179,-0.191600000000001
"Mean Ann UKL Flood Control Release Volume",448.0705,"KAF","Flood Control","HW","CMIP5",2070,"Add Flow
10%",224.4786,223.5919
"KenoReach Mean Ann Fishing Days",207.7333,"days","Recreation Fishing","HW","CMIP5",2070,"Add Flow
10%",247.6667,-39.9334
"BoyleReach Mean Ann Fishing Days",138,"days","Recreation Fishing","HW","CMIP5",2070,"Add Flow
10%",154.9,-16.9
"HellsCornerReach Mean Ann Fishing Days",229.3,"days","Recreation Fishing","HW","CMIP5",2070,"Add Flow
10%",220.4333,8.86670000000001
"IGScottReach Mean Ann Fishing Days",247.0667,"days","Recreation Fishing","HW","CMIP5",2070,"Add Flow
10%",274.7333,-27.6666
"ScottSalmonReach Mean Ann Fishing Days",189.6333,"days","Recreation Fishing","HW","CMIP5",2070,"Add Flow
10%",183.9667,5.66659999999999
"SalmonTrinityReach Mean Ann Fishing Days",220,"days","Recreation Fishing","HW","CMIP5",2070,"Add Flow
10%",213.9333,6.0667
"TrinityOceanReach Mean Ann Fishing Days",246.7667,"days","Recreation Fishing","HW","CMIP5",2070,"Add Flow
10%",252.9333,-6.16660000000002
"KenoReach Mean Ann Boating Days",182.7333,"days","Recreation Boating","HW","CMIP5",2070,"Add Flow
10%",171.8,10.9333
"BoyleReach Mean Ann Boating Days",50.7333,"days","Recreation Boating","HW","CMIP5",2070,"Add Flow
10%",59,-8.2667
"HellsCornerReach Mean Ann Boating Days",165.5333,"days","Recreation Boating","HW","CMIP5",2070,"Add Flow
10%",256,-90.4667
"IGScottReach Mean Ann Boating Days",247.0667,"days","Recreation Boating","HW","CMIP5",2070,"Add Flow
10%",274.7333,-27.6666
"ScottSalmonReach Mean Ann Boating Days",232.2667,"days","Recreation Boating","HW","CMIP5",2070,"Add Flow
10%",249.2333,-16.9666
"SalmonTrinityReach Mean Ann Boating Days",220,"days","Recreation Boating","HW","CMIP5",2070,"Add Flow
10%",213.9333,6.0667
"TrinityOceanReach Mean Ann Boating Days",246.7667,"days","Recreation Boating","HW","CMIP5",2070,"Add Flow
10%",252.9333,-6.16660000000002
"Mean Percent Full Supply (Apr-Sep)",94.4672,"%","Water Delivery","HW","CMIP5",2070,"Add Flow
10%",NA,NA
"Mean Annual UKL Stg and Inflow",1495.9553,"KAF","Water Delivery","HW","CMIP5",2070,"Add Flow
10%",1377.9978,117.9575
"Mean Annual Shasta Flow",214.1093,"cfs","Water Delivery","HW","CMIP5",2070,"Add Flow
10%",187.6871,26.4222
"Mean Annual Scott Flow",839.7791,"cfs","Water Delivery","HW","CMIP5",2070,"Add Flow
10%",668.7854,170.9937
"Mean Annual MWAT",83.2529,"degF","Water Quality","HW","CMIP5",2070,"Add Flow
10%",75.7443,7.5086
"Mean exceedence of MWAT - Poor",19.5729,"degF","Water Quality","HW","CMIP5",2070,"Add Flow
10%",12.0643,7.5086
"Frequency Meeting Dry Year Fish Targets Scott",67.1899,"% of Days","Ecological Resources","HW","CMIP5",2070,"Add Flow
20%",70.5029,-3.313
"Frequency Meeting Dry Year Fish Targets Shasta",56.5575,"% of Days","Ecological Resources","HW","CMIP5",2070,"Add Flow
20%",56.8769,-0.319400000000002
"Mean Percent of Annual Refuge Demand",12.7966,"% of Years","Ecological Resources","HW","CMIP5",2070,"Add Flow
20%",NA,NA
"Mean Annual Hydropower Generated (MW)",26283.7877,"MW","Hydropower","HW","CMIP5",2070,"Add Flow
20%",26741.1142,-457.326499999999
"Boyle Mean Spill Volume per year",582.7187,"KAF","Hydropower","HW","CMIP5",2070,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Volume per year",583.8971,"KAF","Hydropower","HW","CMIP5",2070,"Add Flow
20%",NA,NA
"Iron Gate Mean Spill Volume per year",951.7957,"KAF","Hydropower","HW","CMIP5",2070,"Add Flow
20%",NA,NA
"Boyle Mean Spill Days per year",253.1,"days","Hydropower","HW","CMIP5",2070,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Days per year",62.4333,"days","Hydropower","HW","CMIP5",2070,"Add Flow
20%",NA,NA
