"measure","scenario","period","climset","strategy","value","value_hist"
"Frequency Meeting Dry Year Fish Targets Shasta","HD",2030,"CMIP5","Reduce ET 30%",51.2458,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HD",2030,"CMIP5","Reduce ET 50%",50.5795,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2030,"CMIP3","Add 30KAF",58.5288,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2030,"CMIP3","Baseline",58.5288,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2030,"CMIP3","Reduce ET 30%",58.109,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2030,"CMIP3","Reduce ET 50%",57.3058,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2030,"CMIP5","Add 30KAF",59.9708,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2030,"CMIP5","Baseline",59.9708,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2030,"CMIP5","Reduce ET 30%",59.0581,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2030,"CMIP5","Reduce ET 50%",57.8899,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2030,"CMIP3","Add 30KAF",55.2158,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2030,"CMIP3","Baseline",55.2158,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2030,"CMIP3","Reduce ET 30%",54.9329,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2030,"CMIP3","Reduce ET 50%",54.3488,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2030,"CMIP5","Add 30KAF",56.0829,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2030,"CMIP5","Baseline",56.0829,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2030,"CMIP5","Reduce ET 30%",55.2341,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2030,"CMIP5","Reduce ET 50%",54.4583,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WD",2070,"CMIP3","Add 30KAF",52.0672,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WD",2070,"CMIP3","Baseline",52.0672,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WD",2070,"CMIP3","Reduce ET 30%",51.693,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WD",2070,"CMIP3","Reduce ET 50%",50.6799,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WD",2070,"CMIP5","Add 30KAF",53.5822,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WD",2070,"CMIP5","Baseline",53.5822,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WD",2070,"CMIP5","Reduce ET 30%",52.8612,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WD",2070,"CMIP5","Reduce ET 50%",51.8938,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WW",2070,"CMIP3","Add 30KAF",62.9734,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WW",2070,"CMIP3","Baseline",62.9734,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WW",2070,"CMIP3","Reduce ET 30%",62.1977,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WW",2070,"CMIP3","Reduce ET 50%",60.8561,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WW",2070,"CMIP5","Add 30KAF",66.0582,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WW",2070,"CMIP5","Baseline",66.0582,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WW",2070,"CMIP5","Reduce ET 30%",64.8261,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","WW",2070,"CMIP5","Reduce ET 50%",62.9734,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HD",2070,"CMIP3","Add 30KAF",47.0841,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HD",2070,"CMIP3","Baseline",47.0841,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HD",2070,"CMIP3","Reduce ET 30%",46.4087,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HD",2070,"CMIP3","Reduce ET 50%",45.6603,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HD",2070,"CMIP5","Add 30KAF",46.8833,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HD",2070,"CMIP5","Baseline",46.8833,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HD",2070,"CMIP5","Reduce ET 30%",46.3083,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HD",2070,"CMIP5","Reduce ET 50%",45.3774,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2070,"CMIP3","Add 30KAF",58.0268,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2070,"CMIP3","Baseline",58.0268,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2070,"CMIP3","Reduce ET 30%",57.4245,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2070,"CMIP3","Reduce ET 50%",56.0737,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2070,"CMIP5","Add 30KAF",56.5575,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2070,"CMIP5","Baseline",56.5575,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2070,"CMIP5","Reduce ET 30%",55.7178,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","HW",2070,"CMIP5","Reduce ET 50%",54.4401,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2070,"CMIP3","Add 30KAF",56.6578,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2070,"CMIP3","Baseline",56.6578,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2070,"CMIP3","Reduce ET 30%",56.4571,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2070,"CMIP3","Reduce ET 50%",55.5444,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2070,"CMIP5","Add 30KAF",57.607,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2070,"CMIP5","Baseline",57.607,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2070,"CMIP5","Reduce ET 30%",56.7582,56.8769
"Frequency Meeting Dry Year Fish Targets Shasta","CT",2070,"CMIP5","Reduce ET 50%",55.225,56.8769
"Mean Annual Water Delivery to LKNWR","WD",2030,"CMIP3","Add 30KAF",16.7611,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2030,"CMIP3","Baseline",16.3383,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2030,"CMIP3","Reduce ET 30%",17.3725,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2030,"CMIP3","Reduce ET 50%",19.106,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2030,"CMIP5","Add 30KAF",16.5338,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2030,"CMIP5","Baseline",16.1491,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2030,"CMIP5","Reduce ET 30%",17.4125,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2030,"CMIP5","Reduce ET 50%",18.2277,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2030,"CMIP3","Add 30KAF",18.0264,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2030,"CMIP3","Baseline",17.8769,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2030,"CMIP3","Reduce ET 30%",19.1964,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2030,"CMIP3","Reduce ET 50%",20.7353,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2030,"CMIP5","Add 30KAF",19.6411,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2030,"CMIP5","Baseline",19.3812,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2030,"CMIP5","Reduce ET 30%",21.2134,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2030,"CMIP5","Reduce ET 50%",23.1559,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2030,"CMIP3","Add 30KAF",11.1828,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2030,"CMIP3","Baseline",10.4733,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2030,"CMIP3","Reduce ET 30%",11.7241,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2030,"CMIP3","Reduce ET 50%",13.5073,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2030,"CMIP5","Add 30KAF",12.5279,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2030,"CMIP5","Baseline",11.8981,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2030,"CMIP5","Reduce ET 30%",13.9031,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2030,"CMIP5","Reduce ET 50%",15.2415,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2030,"CMIP3","Add 30KAF",13.2163,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2030,"CMIP3","Baseline",12.5663,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2030,"CMIP3","Reduce ET 30%",13.9813,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2030,"CMIP3","Reduce ET 50%",15.5703,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2030,"CMIP5","Add 30KAF",14.0491,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2030,"CMIP5","Baseline",13.3284,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2030,"CMIP5","Reduce ET 30%",14.6239,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2030,"CMIP5","Reduce ET 50%",15.9107,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2030,"CMIP3","Add 30KAF",17.7268,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2030,"CMIP3","Baseline",17.1589,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2030,"CMIP3","Reduce ET 30%",18.3424,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2030,"CMIP3","Reduce ET 50%",19.5419,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2030,"CMIP5","Add 30KAF",14.7966,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2030,"CMIP5","Baseline",14.0619,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2030,"CMIP5","Reduce ET 30%",15.4428,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2030,"CMIP5","Reduce ET 50%",16.5649,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2070,"CMIP3","Add 30KAF",12.7515,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2070,"CMIP3","Baseline",12.408,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2070,"CMIP3","Reduce ET 30%",13.8541,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2070,"CMIP3","Reduce ET 50%",15.3044,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2070,"CMIP5","Add 30KAF",16.6589,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2070,"CMIP5","Baseline",15.9465,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2070,"CMIP5","Reduce ET 30%",17.2803,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2070,"CMIP5","Reduce ET 50%",18.3202,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2070,"CMIP3","Add 30KAF",15.4576,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2070,"CMIP3","Baseline",14.656,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2070,"CMIP3","Reduce ET 30%",16.0332,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2070,"CMIP3","Reduce ET 50%",17.4467,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2070,"CMIP5","Add 30KAF",16.0386,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2070,"CMIP5","Baseline",15.6696,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2070,"CMIP5","Reduce ET 30%",16.9761,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2070,"CMIP5","Reduce ET 50%",18.3026,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2070,"CMIP3","Add 30KAF",8.7445,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2070,"CMIP3","Baseline",8.2921,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2070,"CMIP3","Reduce ET 30%",9.5191,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2070,"CMIP3","Reduce ET 50%",10.3992,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2070,"CMIP5","Add 30KAF",10.8308,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2070,"CMIP5","Baseline",10.9939,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2070,"CMIP5","Reduce ET 30%",13.6222,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2070,"CMIP5","Reduce ET 50%",14.9239,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2070,"CMIP3","Add 30KAF",15.1868,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2070,"CMIP3","Baseline",14.6559,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2070,"CMIP3","Reduce ET 30%",16.7141,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2070,"CMIP3","Reduce ET 50%",17.6838,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2070,"CMIP5","Add 30KAF",12.6977,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2070,"CMIP5","Baseline",12.208,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2070,"CMIP5","Reduce ET 30%",14.3098,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2070,"CMIP5","Reduce ET 50%",15.6879,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2070,"CMIP3","Add 30KAF",12.8552,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2070,"CMIP3","Baseline",12.4664,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2070,"CMIP3","Reduce ET 30%",14.199,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2070,"CMIP3","Reduce ET 50%",15.5701,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2070,"CMIP5","Add 30KAF",14.4969,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2070,"CMIP5","Baseline",14.0333,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2070,"CMIP5","Reduce ET 30%",16.3479,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2070,"CMIP5","Reduce ET 50%",17.0758,24.6143
