"measure","value","units","category","scenario","climset","period","strategy","value_hist","magchange"
"KenoReach Mean Ann Boating Days",180.4333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",171.8,8.63329999999999
"BoyleReach Mean Ann Boating Days",52.9333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",59,-6.0667
"HellsCornerReach Mean Ann Boating Days",203.9333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",256,-52.0667
"IGScottReach Mean Ann Boating Days",280.1,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",274.7333,5.36670000000004
"ScottSalmonReach Mean Ann Boating Days",249,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",249.2333,-0.233300000000014
"SalmonTrinityReach Mean Ann Boating Days",221,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",213.9333,7.0667
"TrinityOceanReach Mean Ann Boating Days",254.3667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",252.9333,1.43340000000001
"Mean Project Supply (Apr-Sep)",358.8836,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce ET 50%",361.3104,-2.42680000000001
"Mean Annual UKL Stg and Inflow",1380.2383,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce ET 50%",1377.9978,2.24049999999988
"Mean Annual Shasta Flow",191.293,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce ET 50%",187.6871,3.60590000000002
"Mean Annual Scott Flow",714.6789,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce ET 50%",668.7854,45.8935
"Mean Annual MWAT",79.8757,"degF","Water Quality","CT","CMIP3",2030,"Reduce ET 50%",75.7443,4.1314
"Mean exceedence of MWAT - Poor",16.1957,"degF","Water Quality","CT","CMIP3",2030,"Reduce ET 50%",12.0643,4.1314
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add 30KAF",70.5029,-1.1956
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add 30KAF",56.8769,-1.6611
"Mean Annual Water Delivery to LKNWR",17.7268,"KAF","Ecological Resources","CT","CMIP3",2030,"Add 30KAF",24.6143,-6.8875
"Mean Annual Hydropower Generated (MW)",26027.2985,"MW","Hydropower","CT","CMIP3",2030,"Add 30KAF",26741.1142,-713.815699999999
"Boyle Mean Spill Volume per Year",264.2508,"KAF","Hydropower","CT","CMIP3",2030,"Add 30KAF",163.0602,101.1906
"Copco1 Mean Spill Volume per Year",298.0948,"KAF","Hydropower","CT","CMIP3",2030,"Add 30KAF",186.3791,111.7157
"Iron Gate Mean Spill Volume per Year",632.0062,"KAF","Hydropower","CT","CMIP3",2030,"Add 30KAF",533.8601,98.1461
"Boyle Mean Spill Days per Year",177.3333,"days","Hydropower","CT","CMIP3",2030,"Add 30KAF",105.9,71.4333
"Copco1 Mean Spill Days per Year",51.5667,"days","Hydropower","CT","CMIP3",2030,"Add 30KAF",42.8,8.7667
"Iron Gate Mean Spill Days per Year",135.2667,"days","Hydropower","CT","CMIP3",2030,"Add 30KAF",170.3333,-35.0666
"Freq of UKL Flood Control Release",44.3461,"Percent of Days","Flood Control","CT","CMIP3",2030,"Add 30KAF",44.1179,0.228200000000001
"Mean Ann UKL Flood Control Release Volume",299.7865,"KAF","Flood Control","CT","CMIP3",2030,"Add 30KAF",224.4786,75.3079
"KenoReach Mean Ann Fishing Days",248.2,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",247.6667,0.533299999999997
"BoyleReach Mean Ann Fishing Days",150.7333,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",154.9,-4.16669999999999
"HellsCornerReach Mean Ann Fishing Days",251.9,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",220.4333,31.4667
"IGScottReach Mean Ann Fishing Days",279.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",274.7333,4.33340000000004
"ScottSalmonReach Mean Ann Fishing Days",188.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",183.9667,4.09999999999999
"SalmonTrinityReach Mean Ann Fishing Days",221.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",213.9333,7.13339999999999
"TrinityOceanReach Mean Ann Fishing Days",254.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",252.9333,1.40000000000001
"KenoReach Mean Ann Boating Days",183,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",171.8,11.2
"BoyleReach Mean Ann Boating Days",53.3,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",59,-5.7
"HellsCornerReach Mean Ann Boating Days",206.2,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",256,-49.8
"IGScottReach Mean Ann Boating Days",279.0667,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",274.7333,4.33340000000004
"ScottSalmonReach Mean Ann Boating Days",248.7333,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",249.2333,-0.5
"SalmonTrinityReach Mean Ann Boating Days",221.0667,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",213.9333,7.13339999999999
"TrinityOceanReach Mean Ann Boating Days",254.3333,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",252.9333,1.40000000000001
"Mean Project Supply (Apr-Sep)",361.798,"KAF","Water Delivery","CT","CMIP3",2030,"Add 30KAF",361.3104,0.487599999999986
"Mean Annual UKL Stg and Inflow",1393.353,"KAF","Water Delivery","CT","CMIP3",2030,"Add 30KAF",1377.9978,15.3552
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Add 30KAF",187.6871,1.2741
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Add 30KAF",668.7854,43.3611
"Mean Annual MWAT",79.8809,"degF","Water Quality","CT","CMIP3",2030,"Add 30KAF",75.7443,4.1366
"Mean exceedence of MWAT - Poor",16.2009,"degF","Water Quality","CT","CMIP3",2030,"Add 30KAF",12.0643,4.1366
"Frequency Meeting Dry Year Fish Targets Scott",69.3894,"% of Days","Ecological Resources","CT","CMIP3",2070,"Baseline",70.5029,-1.1135
"Frequency Meeting Dry Year Fish Targets Shasta",56.6578,"% of Days","Ecological Resources","CT","CMIP3",2070,"Baseline",56.8769,-0.219099999999997
"Mean Annual Water Delivery to LKNWR",12.4664,"KAF","Ecological Resources","CT","CMIP3",2070,"Baseline",24.6143,-12.1479
"Mean Annual Hydropower Generated (MW)",25923.4083,"MW","Hydropower","CT","CMIP3",2070,"Baseline",26741.1142,-817.705900000001
"Boyle Mean Spill Volume per Year",378.0733,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",163.0602,215.0131
"Copco1 Mean Spill Volume per Year",419.0979,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",186.3791,232.7188
"Iron Gate Mean Spill Volume per Year",754.2105,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",533.8601,220.3504
"Boyle Mean Spill Days per Year",205.9667,"days","Hydropower","CT","CMIP3",2070,"Baseline",105.9,100.0667
"Copco1 Mean Spill Days per Year",54.4333,"days","Hydropower","CT","CMIP3",2070,"Baseline",42.8,11.6333
"Iron Gate Mean Spill Days per Year",141.2667,"days","Hydropower","CT","CMIP3",2070,"Baseline",170.3333,-29.0666
"Freq of UKL Flood Control Release",42.174,"Percent of Days","Flood Control","CT","CMIP3",2070,"Baseline",44.1179,-1.9439
"Mean Ann UKL Flood Control Release Volume",359.1891,"KAF","Flood Control","CT","CMIP3",2070,"Baseline",224.4786,134.7105
"KenoReach Mean Ann Fishing Days",233.6333,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",247.6667,-14.0334
"BoyleReach Mean Ann Fishing Days",152.7,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",154.9,-2.20000000000002
"HellsCornerReach Mean Ann Fishing Days",244.9,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",220.4333,24.4667
