"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Copco1 Mean Spill Volume per Year","2",2070,"CMIP3","Reduce ET 30%",186.3791,23.4017118872234,"3"
"Copco1 Mean Spill Volume per Year","2",2070,"CMIP3","Reduce ET 50%",186.3791,23.8884617427598,"3"
"Copco1 Mean Spill Volume per Year","2",2070,"CMIP3","Add 30KAF",186.3791,28.2505388211446,"3"
"Copco1 Mean Spill Volume per Year","2",2070,"CMIP5","Baseline",186.3791,25.3374976056865,"3"
"Copco1 Mean Spill Volume per Year","2",2070,"CMIP5","Reduce ET 30%",186.3791,25.8545083649401,"3"
"Copco1 Mean Spill Volume per Year","2",2070,"CMIP5","Reduce ET 50%",186.3791,26.4457763772869,"3"
"Copco1 Mean Spill Volume per Year","2",2070,"CMIP5","Add 30KAF",186.3791,29.977932075002,"3"
"Copco1 Mean Spill Volume per Year","3",2070,"CMIP3","Baseline",186.3791,203.838144942217,"4"
"Copco1 Mean Spill Volume per Year","3",2070,"CMIP3","Reduce ET 30%",186.3791,205.43778782063,"4"
"Copco1 Mean Spill Volume per Year","3",2070,"CMIP3","Reduce ET 50%",186.3791,207.001428808273,"4"
"Copco1 Mean Spill Volume per Year","3",2070,"CMIP3","Add 30KAF",186.3791,210.901973450886,"4"
"Copco1 Mean Spill Volume per Year","3",2070,"CMIP5","Baseline",186.3791,213.284644040024,"4"
"Copco1 Mean Spill Volume per Year","3",2070,"CMIP5","Reduce ET 30%",186.3791,216.042410334635,"4"
"Copco1 Mean Spill Volume per Year","3",2070,"CMIP5","Reduce ET 50%",186.3791,217.697692498783,"4"
"Copco1 Mean Spill Volume per Year","3",2070,"CMIP5","Add 30KAF",186.3791,219.92771721722,"4"
"Copco1 Mean Spill Volume per Year","4",2070,"CMIP3","Baseline",186.3791,30.5302472219256,"3"
"Copco1 Mean Spill Volume per Year","4",2070,"CMIP3","Reduce ET 30%",186.3791,31.7157878753573,"3"
"Copco1 Mean Spill Volume per Year","4",2070,"CMIP3","Reduce ET 50%",186.3791,32.4874945742307,"3"
"Copco1 Mean Spill Volume per Year","4",2070,"CMIP3","Add 30KAF",186.3791,35.7365713215699,"3"
"Copco1 Mean Spill Volume per Year","4",2070,"CMIP5","Baseline",186.3791,38.1711254105208,"3"
"Copco1 Mean Spill Volume per Year","4",2070,"CMIP5","Reduce ET 30%",186.3791,40.2699122380138,"3"
"Copco1 Mean Spill Volume per Year","4",2070,"CMIP5","Reduce ET 50%",186.3791,41.3670309600164,"3"
"Copco1 Mean Spill Volume per Year","4",2070,"CMIP5","Add 30KAF",186.3791,43.2045223954832,"3"
"Copco1 Mean Spill Volume per Year","5",2070,"CMIP3","Baseline",186.3791,124.863141843694,"3"
"Copco1 Mean Spill Volume per Year","5",2070,"CMIP3","Reduce ET 30%",186.3791,126.265713269353,"3"
"Copco1 Mean Spill Volume per Year","5",2070,"CMIP3","Reduce ET 50%",186.3791,127.37581627983,"3"
"Copco1 Mean Spill Volume per Year","5",2070,"CMIP3","Add 30KAF",186.3791,131.066251527129,"3"
"Copco1 Mean Spill Volume per Year","5",2070,"CMIP5","Baseline",186.3791,101.173629446649,"3"
"Copco1 Mean Spill Volume per Year","5",2070,"CMIP5","Reduce ET 30%",186.3791,102.090685060718,"3"
"Copco1 Mean Spill Volume per Year","5",2070,"CMIP5","Reduce ET 50%",186.3791,102.892491701054,"3"
"Copco1 Mean Spill Volume per Year","5",2070,"CMIP5","Add 30KAF",186.3791,107.062648118807,"3"
"Iron Gate Mean Spill Days per Year","1",2070,"CMIP3","Baseline",170.3333,-8.00389589117338,"2"
"Iron Gate Mean Spill Days per Year","1",2070,"CMIP3","Reduce ET 30%",170.3333,-7.47552005391783,"2"
"Iron Gate Mean Spill Days per Year","1",2070,"CMIP3","Reduce ET 50%",170.3333,-7.27984486885418,"2"
"Iron Gate Mean Spill Days per Year","1",2070,"CMIP3","Add 30KAF",170.3333,-5.79252559540619,"2"
"Iron Gate Mean Spill Days per Year","1",2070,"CMIP5","Baseline",170.3333,-12.074327216111,"2"
"Iron Gate Mean Spill Days per Year","1",2070,"CMIP5","Reduce ET 30%",170.3333,-11.8199436046856,"2"
"Iron Gate Mean Spill Days per Year","1",2070,"CMIP5","Reduce ET 50%",170.3333,-11.5655599932603,"2"
"Iron Gate Mean Spill Days per Year","1",2070,"CMIP5","Add 30KAF",170.3333,-8.88452228659929,"2"
"Iron Gate Mean Spill Days per Year","2",2070,"CMIP3","Baseline",170.3333,-30.9197320782255,"2"
"Iron Gate Mean Spill Days per Year","2",2070,"CMIP3","Reduce ET 30%",170.3333,-30.1761311499278,"2"
"Iron Gate Mean Spill Days per Year","2",2070,"CMIP3","Reduce ET 50%",170.3333,-29.5890468863105,"2"
"Iron Gate Mean Spill Days per Year","2",2070,"CMIP3","Add 30KAF",170.3333,-29.1584792873736,"2"
"Iron Gate Mean Spill Days per Year","2",2070,"CMIP5","Baseline",170.3333,-27.7299271487137,"2"
"Iron Gate Mean Spill Days per Year","2",2070,"CMIP5","Reduce ET 30%",170.3333,-26.7514338065428,"2"
"Iron Gate Mean Spill Days per Year","2",2070,"CMIP5","Reduce ET 50%",170.3333,-26.6144670478409,"2"
"Iron Gate Mean Spill Days per Year","2",2070,"CMIP5","Add 30KAF",170.3333,-25.3424315738614,"2"
"Iron Gate Mean Spill Days per Year","3",2070,"CMIP3","Baseline",170.3333,-12.172194162856,"2"
"Iron Gate Mean Spill Days per Year","3",2070,"CMIP3","Reduce ET 30%",170.3333,-11.0371841560047,"2"
"Iron Gate Mean Spill Days per Year","3",2070,"CMIP3","Reduce ET 50%",170.3333,-10.8414502625147,"2"
"Iron Gate Mean Spill Days per Year","3",2070,"CMIP3","Add 30KAF",170.3333,-10.5479081307061,"2"
"Iron Gate Mean Spill Days per Year","3",2070,"CMIP5","Baseline",170.3333,-10.8414502625147,"2"
"Iron Gate Mean Spill Days per Year","3",2070,"CMIP5","Reduce ET 30%",170.3333,-9.84340701436537,"2"
"Iron Gate Mean Spill Days per Year","3",2070,"CMIP5","Reduce ET 50%",170.3333,-9.08019747166291,"2"
"Iron Gate Mean Spill Days per Year","3",2070,"CMIP5","Add 30KAF",170.3333,-9.76514868202519,"2"
"Iron Gate Mean Spill Days per Year","4",2070,"CMIP3","Baseline",170.3333,-35.3620225757383,"2"
"Iron Gate Mean Spill Days per Year","4",2070,"CMIP3","Reduce ET 30%",170.3333,-33.8160535843549,"2"
"Iron Gate Mean Spill Days per Year","4",2070,"CMIP3","Reduce ET 50%",170.3333,-33.2093607063328,"2"
"Iron Gate Mean Spill Days per Year","4",2070,"CMIP3","Add 30KAF",170.3333,-34.4226877539506,"2"
"Iron Gate Mean Spill Days per Year","4",2070,"CMIP5","Baseline",170.3333,-28.7279703968631,"2"
"Iron Gate Mean Spill Days per Year","4",2070,"CMIP5","Reduce ET 30%",170.3333,-27.7299271487137,"2"
"Iron Gate Mean Spill Days per Year","4",2070,"CMIP5","Reduce ET 50%",170.3333,-27.2015513114582,"2"
"Iron Gate Mean Spill Days per Year","4",2070,"CMIP5","Add 30KAF",170.3333,-26.9862675119897,"2"
"Iron Gate Mean Spill Days per Year","5",2070,"CMIP3","Baseline",170.3333,-17.0645434568578,"2"
"Iron Gate Mean Spill Days per Year","5",2070,"CMIP3","Reduce ET 30%",170.3333,-16.5166177136238,"2"
"Iron Gate Mean Spill Days per Year","5",2070,"CMIP3","Reduce ET 50%",170.3333,-16.2035256758367,"2"
