"measure","scenario","period","climset","strategy","value","value_hist"
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP5","Reduce ET 50%",368.9034,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP3","Add 30KAF",299.7865,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP3","Baseline",290.6077,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP3","Reduce ET 30%",291.2457,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP3","Reduce ET 50%",291.6687,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP5","Add 30KAF",308.2487,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP5","Baseline",298.7926,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP5","Reduce ET 30%",300.2751,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP5","Reduce ET 50%",300.7044,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP3","Add 30KAF",251.2804,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP3","Baseline",242.9596,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP3","Reduce ET 30%",243.3695,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP3","Reduce ET 50%",243.6604,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP5","Add 30KAF",262.1281,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP5","Baseline",253.5896,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP5","Reduce ET 30%",254.6245,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP5","Reduce ET 50%",255.3283,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP3","Add 30KAF",431.4784,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP3","Baseline",419.3867,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP3","Reduce ET 30%",421.0035,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP3","Reduce ET 50%",422.3816,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP5","Add 30KAF",377.0861,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP5","Baseline",366.6051,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP5","Reduce ET 30%",367.5035,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2070,"CMIP5","Reduce ET 50%",368.3755,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP3","Add 30KAF",235.635,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP3","Baseline",226.2618,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP3","Reduce ET 30%",228.7014,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP3","Reduce ET 50%",229.5791,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP5","Add 30KAF",258.5915,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP5","Baseline",249.4562,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP5","Reduce ET 30%",253.2138,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2070,"CMIP5","Reduce ET 50%",254.6113,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP3","Add 30KAF",460.4339,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP3","Baseline",447.8041,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP3","Reduce ET 30%",451.7019,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP3","Reduce ET 50%",454.7092,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP5","Add 30KAF",460.183,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP5","Baseline",448.0705,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP5","Reduce ET 30%",453.7729,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2070,"CMIP5","Reduce ET 50%",456.4867,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP3","Add 30KAF",370.8115,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP3","Baseline",359.1891,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP3","Reduce ET 30%",361.1132,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP3","Reduce ET 50%",362.4263,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP5","Add 30KAF",323.0628,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP5","Baseline",311.3883,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP5","Reduce ET 30%",313.4734,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2070,"CMIP5","Reduce ET 50%",315.7974,224.4786
