"measure","scenario","period","climset","strategy","value","value_hist"
"HellsCornerReach Mean Ann Boating Days","HD",2030,"CMIP3","Baseline",179.6,256
"HellsCornerReach Mean Ann Boating Days","HD",2030,"CMIP3","Reduce ET 30%",182.3,256
"HellsCornerReach Mean Ann Boating Days","HD",2030,"CMIP3","Reduce ET 50%",183.7333,256
"HellsCornerReach Mean Ann Boating Days","HD",2030,"CMIP5","Add 30KAF",182.5667,256
"HellsCornerReach Mean Ann Boating Days","HD",2030,"CMIP5","Baseline",180.8667,256
"HellsCornerReach Mean Ann Boating Days","HD",2030,"CMIP5","Reduce ET 30%",182.0333,256
"HellsCornerReach Mean Ann Boating Days","HD",2030,"CMIP5","Reduce ET 50%",182.9667,256
"HellsCornerReach Mean Ann Boating Days","HW",2030,"CMIP3","Add 30KAF",183.6,256
"HellsCornerReach Mean Ann Boating Days","HW",2030,"CMIP3","Baseline",181.1333,256
"HellsCornerReach Mean Ann Boating Days","HW",2030,"CMIP3","Reduce ET 30%",182.8,256
"HellsCornerReach Mean Ann Boating Days","HW",2030,"CMIP3","Reduce ET 50%",183.6667,256
"HellsCornerReach Mean Ann Boating Days","HW",2030,"CMIP5","Add 30KAF",185.4,256
"HellsCornerReach Mean Ann Boating Days","HW",2030,"CMIP5","Baseline",181.1,256
"HellsCornerReach Mean Ann Boating Days","HW",2030,"CMIP5","Reduce ET 30%",182.4333,256
"HellsCornerReach Mean Ann Boating Days","HW",2030,"CMIP5","Reduce ET 50%",183.4333,256
"HellsCornerReach Mean Ann Boating Days","CT",2030,"CMIP3","Add 30KAF",206.2,256
"HellsCornerReach Mean Ann Boating Days","CT",2030,"CMIP3","Baseline",200.6,256
"HellsCornerReach Mean Ann Boating Days","CT",2030,"CMIP3","Reduce ET 30%",202.3,256
"HellsCornerReach Mean Ann Boating Days","CT",2030,"CMIP3","Reduce ET 50%",203.9333,256
"HellsCornerReach Mean Ann Boating Days","CT",2030,"CMIP5","Add 30KAF",204.0333,256
"HellsCornerReach Mean Ann Boating Days","CT",2030,"CMIP5","Baseline",199.3,256
"HellsCornerReach Mean Ann Boating Days","CT",2030,"CMIP5","Reduce ET 30%",200.4333,256
"HellsCornerReach Mean Ann Boating Days","CT",2030,"CMIP5","Reduce ET 50%",201.0667,256
"HellsCornerReach Mean Ann Boating Days","WD",2070,"CMIP3","Add 30KAF",190.4667,256
"HellsCornerReach Mean Ann Boating Days","WD",2070,"CMIP3","Baseline",187.8667,256
"HellsCornerReach Mean Ann Boating Days","WD",2070,"CMIP3","Reduce ET 30%",188.7667,256
"HellsCornerReach Mean Ann Boating Days","WD",2070,"CMIP3","Reduce ET 50%",189.9,256
"HellsCornerReach Mean Ann Boating Days","WD",2070,"CMIP5","Add 30KAF",192.0333,256
"HellsCornerReach Mean Ann Boating Days","WD",2070,"CMIP5","Baseline",188.5333,256
"HellsCornerReach Mean Ann Boating Days","WD",2070,"CMIP5","Reduce ET 30%",189.5,256
"HellsCornerReach Mean Ann Boating Days","WD",2070,"CMIP5","Reduce ET 50%",190.8333,256
"HellsCornerReach Mean Ann Boating Days","WW",2070,"CMIP3","Add 30KAF",197.2667,256
"HellsCornerReach Mean Ann Boating Days","WW",2070,"CMIP3","Baseline",193.4667,256
"HellsCornerReach Mean Ann Boating Days","WW",2070,"CMIP3","Reduce ET 30%",194.8,256
"HellsCornerReach Mean Ann Boating Days","WW",2070,"CMIP3","Reduce ET 50%",195.3333,256
"HellsCornerReach Mean Ann Boating Days","WW",2070,"CMIP5","Add 30KAF",208.7333,256
"HellsCornerReach Mean Ann Boating Days","WW",2070,"CMIP5","Baseline",204.3333,256
"HellsCornerReach Mean Ann Boating Days","WW",2070,"CMIP5","Reduce ET 30%",204.6,256
"HellsCornerReach Mean Ann Boating Days","WW",2070,"CMIP5","Reduce ET 50%",204.5,256
"HellsCornerReach Mean Ann Boating Days","HD",2070,"CMIP3","Add 30KAF",170.2,256
"HellsCornerReach Mean Ann Boating Days","HD",2070,"CMIP3","Baseline",168.1,256
"HellsCornerReach Mean Ann Boating Days","HD",2070,"CMIP3","Reduce ET 30%",169.1667,256
"HellsCornerReach Mean Ann Boating Days","HD",2070,"CMIP3","Reduce ET 50%",172.1667,256
"HellsCornerReach Mean Ann Boating Days","HD",2070,"CMIP5","Add 30KAF",166.5333,256
"HellsCornerReach Mean Ann Boating Days","HD",2070,"CMIP5","Baseline",163.5667,256
"HellsCornerReach Mean Ann Boating Days","HD",2070,"CMIP5","Reduce ET 30%",164.7,256
"HellsCornerReach Mean Ann Boating Days","HD",2070,"CMIP5","Reduce ET 50%",165.5667,256
"HellsCornerReach Mean Ann Boating Days","HW",2070,"CMIP3","Add 30KAF",171.1667,256
"HellsCornerReach Mean Ann Boating Days","HW",2070,"CMIP3","Baseline",169,256
"HellsCornerReach Mean Ann Boating Days","HW",2070,"CMIP3","Reduce ET 30%",170.1,256
"HellsCornerReach Mean Ann Boating Days","HW",2070,"CMIP3","Reduce ET 50%",171.2,256
"HellsCornerReach Mean Ann Boating Days","HW",2070,"CMIP5","Add 30KAF",167,256
"HellsCornerReach Mean Ann Boating Days","HW",2070,"CMIP5","Baseline",165.5333,256
"HellsCornerReach Mean Ann Boating Days","HW",2070,"CMIP5","Reduce ET 30%",166.2667,256
"HellsCornerReach Mean Ann Boating Days","HW",2070,"CMIP5","Reduce ET 50%",167.2667,256
"HellsCornerReach Mean Ann Boating Days","CT",2070,"CMIP3","Add 30KAF",179.6333,256
"HellsCornerReach Mean Ann Boating Days","CT",2070,"CMIP3","Baseline",176.9,256
"HellsCornerReach Mean Ann Boating Days","CT",2070,"CMIP3","Reduce ET 30%",178.6,256
"HellsCornerReach Mean Ann Boating Days","CT",2070,"CMIP3","Reduce ET 50%",179.9333,256
"HellsCornerReach Mean Ann Boating Days","CT",2070,"CMIP5","Add 30KAF",177.2667,256
"HellsCornerReach Mean Ann Boating Days","CT",2070,"CMIP5","Baseline",173.3,256
"HellsCornerReach Mean Ann Boating Days","CT",2070,"CMIP5","Reduce ET 30%",175.9333,256
"HellsCornerReach Mean Ann Boating Days","CT",2070,"CMIP5","Reduce ET 50%",176.6333,256
"IGScottReach Mean Ann Boating Days","WD",2030,"CMIP3","Add 30KAF",280.4667,274.7333
"IGScottReach Mean Ann Boating Days","WD",2030,"CMIP3","Baseline",281.9667,274.7333
"IGScottReach Mean Ann Boating Days","WD",2030,"CMIP3","Reduce ET 30%",282.0333,274.7333
"IGScottReach Mean Ann Boating Days","WD",2030,"CMIP3","Reduce ET 50%",282.2333,274.7333
"IGScottReach Mean Ann Boating Days","WD",2030,"CMIP5","Add 30KAF",277.0333,274.7333
"IGScottReach Mean Ann Boating Days","WD",2030,"CMIP5","Baseline",277.5333,274.7333
"IGScottReach Mean Ann Boating Days","WD",2030,"CMIP5","Reduce ET 30%",277.5,274.7333
"IGScottReach Mean Ann Boating Days","WD",2030,"CMIP5","Reduce ET 50%",277.5,274.7333
"IGScottReach Mean Ann Boating Days","WW",2030,"CMIP3","Add 30KAF",267.1,274.7333
"IGScottReach Mean Ann Boating Days","WW",2030,"CMIP3","Baseline",268.6667,274.7333
"IGScottReach Mean Ann Boating Days","WW",2030,"CMIP3","Reduce ET 30%",268.7333,274.7333
"IGScottReach Mean Ann Boating Days","WW",2030,"CMIP3","Reduce ET 50%",268.7333,274.7333
"IGScottReach Mean Ann Boating Days","WW",2030,"CMIP5","Add 30KAF",273.0667,274.7333
"IGScottReach Mean Ann Boating Days","WW",2030,"CMIP5","Baseline",274.4,274.7333
"IGScottReach Mean Ann Boating Days","WW",2030,"CMIP5","Reduce ET 30%",273.9667,274.7333
"IGScottReach Mean Ann Boating Days","WW",2030,"CMIP5","Reduce ET 50%",273.9667,274.7333
"IGScottReach Mean Ann Boating Days","HD",2030,"CMIP3","Add 30KAF",284.4667,274.7333
"IGScottReach Mean Ann Boating Days","HD",2030,"CMIP3","Baseline",285.1667,274.7333
"IGScottReach Mean Ann Boating Days","HD",2030,"CMIP3","Reduce ET 30%",285.1333,274.7333
"IGScottReach Mean Ann Boating Days","HD",2030,"CMIP3","Reduce ET 50%",285.2667,274.7333
"IGScottReach Mean Ann Boating Days","HD",2030,"CMIP5","Add 30KAF",286.6667,274.7333
"IGScottReach Mean Ann Boating Days","HD",2030,"CMIP5","Baseline",287.5333,274.7333
