"measure","scenario","period","climset","value","value_hist"
"ScottSalmonReach Mean Ann Boating Days","WW",2030,"CMIP5",233.6667,249.2333
"ScottSalmonReach Mean Ann Boating Days","HD",2030,"CMIP3",260.5333,249.2333
"ScottSalmonReach Mean Ann Boating Days","HD",2030,"CMIP5",260.2333,249.2333
"ScottSalmonReach Mean Ann Boating Days","HW",2030,"CMIP3",236.0333,249.2333
"ScottSalmonReach Mean Ann Boating Days","HW",2030,"CMIP5",237.3333,249.2333
"ScottSalmonReach Mean Ann Boating Days","CT",2030,"CMIP3",248.9667,249.2333
"ScottSalmonReach Mean Ann Boating Days","CT",2030,"CMIP5",249.8667,249.2333
"ScottSalmonReach Mean Ann Boating Days","WD",2070,"CMIP3",262.3333,249.2333
"ScottSalmonReach Mean Ann Boating Days","WD",2070,"CMIP5",255.2,249.2333
"ScottSalmonReach Mean Ann Boating Days","WW",2070,"CMIP3",230.2667,249.2333
"ScottSalmonReach Mean Ann Boating Days","WW",2070,"CMIP5",231.1,249.2333
"ScottSalmonReach Mean Ann Boating Days","HD",2070,"CMIP3",261.5667,249.2333
"ScottSalmonReach Mean Ann Boating Days","HD",2070,"CMIP5",257.7667,249.2333
"ScottSalmonReach Mean Ann Boating Days","HW",2070,"CMIP3",241.4333,249.2333
"ScottSalmonReach Mean Ann Boating Days","HW",2070,"CMIP5",232.2667,249.2333
"ScottSalmonReach Mean Ann Boating Days","CT",2070,"CMIP3",243.6667,249.2333
"ScottSalmonReach Mean Ann Boating Days","CT",2070,"CMIP5",243.3,249.2333
"TrinityOceanReach Mean Ann Boating Days","WD",2030,"CMIP3",261.8,252.9333
"TrinityOceanReach Mean Ann Boating Days","WD",2030,"CMIP5",262.9,252.9333
"TrinityOceanReach Mean Ann Boating Days","WW",2030,"CMIP3",232.8667,252.9333
"TrinityOceanReach Mean Ann Boating Days","WW",2030,"CMIP5",236.8,252.9333
"TrinityOceanReach Mean Ann Boating Days","HD",2030,"CMIP3",272.5333,252.9333
"TrinityOceanReach Mean Ann Boating Days","HD",2030,"CMIP5",273.9667,252.9333
