"","scen","Accretion","Wyear","Flow"
"191","Alt_5","I15",2011,468.250727076463
"192","Alt_5","I15",2012,637.475622937045
"193","Alt_5","I15",2013,544.015918828969
"194","Alt_5","I15",2014,348.768035832605
"195","Alt_5","I15",2015,544.356300666802
"196","Alt_5","I15",2016,369.67067987812
"197","Alt_5","I15",2017,365.364845363288
"198","Alt_5","I15",2018,435.469542058973
"199","Alt_5","I15",2019,512.117056252439
"200","Alt_5","I15",2020,549.65802461427
"201","Alt_5","I91",1981,133.671671022925
"202","Alt_5","I91",1982,253.601260185572
"203","Alt_5","I91",1983,246.141897375264
"204","Alt_5","I91",1984,442.927929793749
"205","Alt_5","I91",1985,297.389129481234
"206","Alt_5","I91",1986,98.1467369289791
"207","Alt_5","I91",1987,126.6056617533
"208","Alt_5","I91",1988,124.507206033106
"209","Alt_5","I91",1989,117.028626585771
"210","Alt_5","I91",1990,390.471836327786
"211","Alt_5","I91",1991,184.852478344976
"212","Alt_5","I91",1992,148.913222317728
"213","Alt_5","I91",1993,96.7652303103342
"214","Alt_5","I91",1994,51.6610264227825
"215","Alt_5","I91",1995,45.7809387225432
"216","Alt_5","I91",1996,32.1878006587131
"217","Alt_5","I91",1997,76.4844461146928
"218","Alt_5","I91",1998,177.224621958555
"219","Alt_5","I91",1999,63.64807834912
"220","Alt_5","I91",2000,256.83046955415
"221","Alt_5","I91",2001,31.7089747200707
"222","Alt_5","I91",2002,148.775294822008
"223","Alt_5","I91",2003,119.429877170216
"224","Alt_5","I91",2004,187.902548350393
"225","Alt_5","I91",2005,137.961373595174
"226","Alt_5","I91",2006,96.9963603703154
"227","Alt_5","I91",2007,179.784481542589
"228","Alt_5","I91",2008,185.039932234652
"229","Alt_5","I91",2009,78.5538420696776
"230","Alt_5","I91",2010,96.3227476143941
"231","Alt_5","I91",2011,147.908033756574
"232","Alt_5","I91",2012,387.193233425763
"233","Alt_5","I91",2013,137.851223742451
"234","Alt_5","I91",2014,116.51892402181
"235","Alt_5","I91",2015,137.937473775083
"236","Alt_5","I91",2016,49.0809402998233
"237","Alt_5","I91",2017,124.487766547994
"238","Alt_5","I91",2018,86.2487675128025
"239","Alt_5","I91",2019,152.590730539278
"240","Alt_5","I91",2020,139.280963773536
"241","Alt_9","I1",1981,1219.71650664005
"242","Alt_9","I1",1982,2074.73566223674
"243","Alt_9","I1",1983,1224.11578872824
"244","Alt_9","I1",1984,828.189179311285
"245","Alt_9","I1",1985,1033.48357375885
"246","Alt_9","I1",1986,980.243668840537
"247","Alt_9","I1",1987,1082.24565782915
"248","Alt_9","I1",1988,1381.65649347279
"249","Alt_9","I1",1989,2101.45695427137
"250","Alt_9","I1",1990,1192.68638159059
"251","Alt_9","I1",1991,928.805487517223
"252","Alt_9","I1",1992,1495.25772382538
"253","Alt_9","I1",1993,2445.00956988166
"254","Alt_9","I1",1994,2294.86260061535
"255","Alt_9","I1",1995,2313.52339999378
"256","Alt_9","I1",1996,2334.36334213821
"257","Alt_9","I1",1997,2312.00876512461
"258","Alt_9","I1",1998,2085.40090882659
"259","Alt_9","I1",1999,2221.24733169332
"260","Alt_9","I1",2000,2329.67936043947
"261","Alt_9","I1",2001,2243.820943568
"262","Alt_9","I1",2002,1383.8268392305
"263","Alt_9","I1",2003,1323.05541451219
"264","Alt_9","I1",2004,1420.90286477648
"265","Alt_9","I1",2005,1205.11474757157
"266","Alt_9","I1",2006,1035.48872996467
"267","Alt_9","I1",2007,999.39591832481
"268","Alt_9","I1",2008,1532.80267154158
"269","Alt_9","I1",2009,1351.3433923057
"270","Alt_9","I1",2010,2727.03006018972
"271","Alt_9","I1",2011,1952.16711254286
"272","Alt_9","I1",2012,1226.78364964509
"273","Alt_9","I1",2013,1551.5066787117
"274","Alt_9","I1",2014,1425.4794330252
"275","Alt_9","I1",2015,1242.62574997013
"276","Alt_9","I1",2016,1385.60361969307
"277","Alt_9","I1",2017,1391.43801432089
"278","Alt_9","I1",2018,1384.62158202983
"279","Alt_9","I1",2019,1486.0392847996
"280","Alt_9","I1",2020,1363.57505464481
"281","Alt_9","I15",1981,382.596853678464
"282","Alt_9","I15",1982,484.174384737095
"283","Alt_9","I15",1983,383.976806723966
"284","Alt_9","I15",1984,299.672129556546
"285","Alt_9","I15",1985,311.646973379698
"286","Alt_9","I15",1986,295.592479970717
"287","Alt_9","I15",1987,372.613879137128
"288","Alt_9","I15",1988,511.877180832028
"289","Alt_9","I15",1989,490.410246655455
"290","Alt_9","I15",1990,347.022198937122
"291","Alt_9","I15",1991,307.335319525814
"292","Alt_9","I15",1992,517.375935559899
"293","Alt_9","I15",1993,615.639570767047
"294","Alt_9","I15",1994,517.434064330728
"295","Alt_9","I15",1995,521.641607421501
"296","Alt_9","I15",1996,703.023689273942
"297","Alt_9","I15",1997,521.300095161797
"298","Alt_9","I15",1998,739.067237282927
"299","Alt_9","I15",1999,472.842853331768
"300","Alt_9","I15",2000,701.613047665095
"301","Alt_9","I15",2001,477.648158387519
"302","Alt_9","I15",2002,512.68125225853
"303","Alt_9","I15",2003,468.089672590654
"304","Alt_9","I15",2004,398.037791302839
"305","Alt_9","I15",2005,434.555876684013
"306","Alt_9","I15",2006,312.251628232922
"307","Alt_9","I15",2007,301.367840829308
"308","Alt_9","I15",2008,363.686188676802
"309","Alt_9","I15",2009,354.675239816154
"310","Alt_9","I15",2010,680.712029377985
"311","Alt_9","I15",2011,485.389810952688
"312","Alt_9","I15",2012,402.94231629936
"313","Alt_9","I15",2013,553.206227904873
"314","Alt_9","I15",2014,399.319826229406
"315","Alt_9","I15",2015,408.145721648808
"316","Alt_9","I15",2016,452.358554908597
"317","Alt_9","I15",2017,515.501046351579
"318","Alt_9","I15",2018,452.037948682107
"319","Alt_9","I15",2019,434.777770365792
"320","Alt_9","I15",2020,436.191069120793
"321","Alt_9","I91",1981,104.533883580636
"322","Alt_9","I91",1982,229.480476204026
"323","Alt_9","I91",1983,104.910916402789
"324","Alt_9","I91",1984,31.7354187417781
"325","Alt_9","I91",1985,78.7065481206253
"326","Alt_9","I91",1986,74.651973753328
"327","Alt_9","I91",1987,46.7396149465971
"328","Alt_9","I91",1988,97.5911932762228
"329","Alt_9","I91",1989,232.436040575847
"330","Alt_9","I91",1990,61.8591477594262
"331","Alt_9","I91",1991,53.6727575912235
"332","Alt_9","I91",1992,154.157669626881
"333","Alt_9","I91",1993,471.433002807408
"334","Alt_9","I91",1994,245.255537960779
"335","Alt_9","I91",1995,247.249846636118
"336","Alt_9","I91",1996,247.511193159137
"337","Alt_9","I91",1997,247.087975245087
"338","Alt_9","I91",1998,181.977496223294
"339","Alt_9","I91",1999,431.979340592767
"340","Alt_9","I91",2000,247.014553309338
"341","Alt_9","I91",2001,436.369366806289
"342","Alt_9","I91",2002,97.7445254831814
"343","Alt_9","I91",2003,147.8571609021
"344","Alt_9","I91",2004,95.7999429445934
"345","Alt_9","I91",2005,139.258948052944
"346","Alt_9","I91",2006,78.8592541605229
"347","Alt_9","I91",2007,76.1105453815899
"348","Alt_9","I91",2008,123.915817192659
"349","Alt_9","I91",2009,118.492449262581
"350","Alt_9","I91",2010,389.549932213363
"351","Alt_9","I91",2011,257.138748658625
"352","Alt_9","I91",2012,96.2703341308968
"353","Alt_9","I91",2013,140.180063117984
"354","Alt_9","I91",2014,96.1085081622012
"355","Alt_9","I91",2015,97.513552451561
"356","Alt_9","I91",2016,141.117968810997
"357","Alt_9","I91",2017,98.2821356395744
"358","Alt_9","I91",2018,141.017952360398
"359","Alt_9","I91",2019,187.644879065993
"360","Alt_9","I91",2020,86.3916726036247
"361","Historical","I1",1981,1222.15814717999
"362","Historical","I1",1982,2643.579393006
"363","Historical","I1",1983,2735.90132290023
"364","Historical","I1",1984,2723.76064278935
