"measure","value","units","category","scenario","climset","period","strategy"
"Mean Annual Water Delivery to LKNWR",10.3992,"KAF","Ecological Resources","HD","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual Hydropower Generated (MW)",23011.707,"MW","Hydropower","HD","CMIP3",2070,"Reduce
ET 50%"
"Boyle Mean Spill Volume per Year",220.1271,"KAF","Hydropower","HD","CMIP3",2070,"Reduce
ET 50%"
"Copco1 Mean Spill Volume per Year",246.929,"KAF","Hydropower","HD","CMIP3",2070,"Reduce
ET 50%"
"Iron Gate Mean Spill Volume per Year",495.4437,"KAF","Hydropower","HD","CMIP3",2070,"Reduce
ET 50%"
"Boyle Mean Spill Days per Year",158.0667,"days","Hydropower","HD","CMIP3",2070,"Reduce
ET 50%"
"Copco1 Mean Spill Days per Year",38.0667,"days","Hydropower","HD","CMIP3",2070,"Reduce
ET 50%"
"Iron Gate Mean Spill Days per Year",113.7667,"days","Hydropower","HD","CMIP3",2070,"Reduce
ET 50%"
"Freq of UKL Flood Control Release",34.3342,"Percent of Days","Flood Control","HD","CMIP3",2070,"Reduce
ET 50%"
"Mean Ann UKL Flood Control Release Volume",229.5791,"KAF","Flood Control","HD","CMIP3",2070,"Reduce
ET 50%"
"KenoReach Mean Ann Fishing Days",264.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce
ET 50%"
"BoyleReach Mean Ann Fishing Days",195.6,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce
ET 50%"
"HellsCornerReach Mean Ann Fishing Days",272.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce
ET 50%"
"IGScottReach Mean Ann Fishing Days",286.8,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce
ET 50%"
"ScottSalmonReach Mean Ann Fishing Days",217.8333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce
ET 50%"
"SalmonTrinityReach Mean Ann Fishing Days",250.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce
ET 50%"
"TrinityOceanReach Mean Ann Fishing Days",281.4,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce
ET 50%"
"KenoReach Mean Ann Boating Days",145.5,"days","Recreation Boating","HD","CMIP3",2070,"Reduce
ET 50%"
"BoyleReach Mean Ann Boating Days",53.5667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce
ET 50%"
"HellsCornerReach Mean Ann Boating Days",172.1667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce
ET 50%"
"IGScottReach Mean Ann Boating Days",286.8,"days","Recreation Boating","HD","CMIP3",2070,"Reduce
ET 50%"
"ScottSalmonReach Mean Ann Boating Days",263.9333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce
ET 50%"
"SalmonTrinityReach Mean Ann Boating Days",250.2667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce
ET 50%"
"TrinityOceanReach Mean Ann Boating Days",281.4,"days","Recreation Boating","HD","CMIP3",2070,"Reduce
ET 50%"
"Mean Project Supply (Apr-Sep)",323.2803,"KAF","Water Delivery","HD","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual UKL Stg and Inflow",1215.1082,"KAF","Water Delivery","HD","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual Shasta Flow",163.8013,"cfs","Water Delivery","HD","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual Scott Flow",552.8526,"cfs","Water Delivery","HD","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual MWAT",82.7669,"degF","Water Quality","HD","CMIP3",2070,"Reduce
ET 50%"
"Mean exceedence of MWAT - Poor",19.0869,"degF","Water Quality","HD","CMIP3",2070,"Reduce
ET 50%"
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add
30KAF"
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add
30KAF"
"Mean Annual Water Delivery to LKNWR",8.7445,"KAF","Ecological Resources","HD","CMIP3",2070,"Add
30KAF"
"Mean Annual Hydropower Generated (MW)",22976.308,"MW","Hydropower","HD","CMIP3",2070,"Add
30KAF"
"Boyle Mean Spill Volume per Year",224.9596,"KAF","Hydropower","HD","CMIP3",2070,"Add
30KAF"
"Copco1 Mean Spill Volume per Year",252.9846,"KAF","Hydropower","HD","CMIP3",2070,"Add
30KAF"
"Iron Gate Mean Spill Volume per Year",503.0186,"KAF","Hydropower","HD","CMIP3",2070,"Add
30KAF"
"Boyle Mean Spill Days per Year",158.1,"days","Hydropower","HD","CMIP3",2070,"Add
30KAF"
"Copco1 Mean Spill Days per Year",38.8,"days","Hydropower","HD","CMIP3",2070,"Add
30KAF"
"Iron Gate Mean Spill Days per Year",111.7,"days","Hydropower","HD","CMIP3",2070,"Add
30KAF"
"Freq of UKL Flood Control Release",35.5937,"Percent of Days","Flood Control","HD","CMIP3",2070,"Add
30KAF"
"Mean Ann UKL Flood Control Release Volume",235.635,"KAF","Flood Control","HD","CMIP3",2070,"Add
30KAF"
"KenoReach Mean Ann Fishing Days",261.8333,"days","Recreation Fishing","HD","CMIP3",2070,"Add
30KAF"
"BoyleReach Mean Ann Fishing Days",195.9,"days","Recreation Fishing","HD","CMIP3",2070,"Add
30KAF"
"HellsCornerReach Mean Ann Fishing Days",272.1,"days","Recreation Fishing","HD","CMIP3",2070,"Add
30KAF"
"IGScottReach Mean Ann Fishing Days",285.0667,"days","Recreation Fishing","HD","CMIP3",2070,"Add
30KAF"
"ScottSalmonReach Mean Ann Fishing Days",216.6667,"days","Recreation Fishing","HD","CMIP3",2070,"Add
30KAF"
"SalmonTrinityReach Mean Ann Fishing Days",249.4,"days","Recreation Fishing","HD","CMIP3",2070,"Add
30KAF"
"TrinityOceanReach Mean Ann Fishing Days",281.4667,"days","Recreation Fishing","HD","CMIP3",2070,"Add
30KAF"
"KenoReach Mean Ann Boating Days",143.6333,"days","Recreation Boating","HD","CMIP3",2070,"Add
30KAF"
"BoyleReach Mean Ann Boating Days",52.3667,"days","Recreation Boating","HD","CMIP3",2070,"Add
30KAF"
"HellsCornerReach Mean Ann Boating Days",170.2,"days","Recreation Boating","HD","CMIP3",2070,"Add
30KAF"
"IGScottReach Mean Ann Boating Days",285.0667,"days","Recreation Boating","HD","CMIP3",2070,"Add
30KAF"
"ScottSalmonReach Mean Ann Boating Days",261.8333,"days","Recreation Boating","HD","CMIP3",2070,"Add
30KAF"
"SalmonTrinityReach Mean Ann Boating Days",249.4,"days","Recreation Boating","HD","CMIP3",2070,"Add
30KAF"
"TrinityOceanReach Mean Ann Boating Days",281.4667,"days","Recreation Boating","HD","CMIP3",2070,"Add
30KAF"
"Mean Project Supply (Apr-Sep)",325.3669,"KAF","Water Delivery","HD","CMIP3",2070,"Add
30KAF"
"Mean Annual UKL Stg and Inflow",1218.6365,"KAF","Water Delivery","HD","CMIP3",2070,"Add
30KAF"
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Add
30KAF"
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Add
30KAF"
"Mean Annual MWAT",82.7583,"degF","Water Quality","HD","CMIP3",2070,"Add
30KAF"
"Mean exceedence of MWAT - Poor",19.0783,"degF","Water Quality","HD","CMIP3",2070,"Add
30KAF"
"Frequency Meeting Dry Year Fish Targets Scott",70.5029,"% of Days","Ecological Resources","HD","CMIP5",2030,"Historical"
"Frequency Meeting Dry Year Fish Targets Shasta",56.8769,"% of Days","Ecological Resources","HD","CMIP5",2030,"Historical"
"Mean Annual Water Delivery to LKNWR",24.6143,"KAF","Ecological Resources","HD","CMIP5",2030,"Historical"
"Mean Annual Hydropower Generated (MW)",26741.1142,"MW","Hydropower","HD","CMIP5",2030,"Historical"
"Boyle Mean Spill Volume per Year",163.0602,"KAF","Hydropower","HD","CMIP5",2030,"Historical"
"Copco1 Mean Spill Volume per Year",186.3791,"KAF","Hydropower","HD","CMIP5",2030,"Historical"
"Iron Gate Mean Spill Volume per Year",533.8601,"KAF","Hydropower","HD","CMIP5",2030,"Historical"
"Boyle Mean Spill Days per Year",105.9,"days","Hydropower","HD","CMIP5",2030,"Historical"
"Copco1 Mean Spill Days per Year",42.8,"days","Hydropower","HD","CMIP5",2030,"Historical"
"Iron Gate Mean Spill Days per Year",170.3333,"days","Hydropower","HD","CMIP5",2030,"Historical"
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","HD","CMIP5",2030,"Historical"
"Mean Ann UKL Flood Control Release Volume",224.4786,"KAF","Flood Control","HD","CMIP5",2030,"Historical"
"KenoReach Mean Ann Fishing Days",247.6667,"days","Recreation Fishing","HD","CMIP5",2030,"Historical"
"BoyleReach Mean Ann Fishing Days",154.9,"days","Recreation Fishing","HD","CMIP5",2030,"Historical"
"HellsCornerReach Mean Ann Fishing Days",220.4333,"days","Recreation Fishing","HD","CMIP5",2030,"Historical"
"IGScottReach Mean Ann Fishing Days",274.7333,"days","Recreation Fishing","HD","CMIP5",2030,"Historical"
"ScottSalmonReach Mean Ann Fishing Days",183.9667,"days","Recreation Fishing","HD","CMIP5",2030,"Historical"
"SalmonTrinityReach Mean Ann Fishing Days",213.9333,"days","Recreation Fishing","HD","CMIP5",2030,"Historical"
"TrinityOceanReach Mean Ann Fishing Days",252.9333,"days","Recreation Fishing","HD","CMIP5",2030,"Historical"
"KenoReach Mean Ann Boating Days",171.8,"days","Recreation Boating","HD","CMIP5",2030,"Historical"
"BoyleReach Mean Ann Boating Days",59,"days","Recreation Boating","HD","CMIP5",2030,"Historical"
"HellsCornerReach Mean Ann Boating Days",256,"days","Recreation Boating","HD","CMIP5",2030,"Historical"
"IGScottReach Mean Ann Boating Days",274.7333,"days","Recreation Boating","HD","CMIP5",2030,"Historical"
"ScottSalmonReach Mean Ann Boating Days",249.2333,"days","Recreation Boating","HD","CMIP5",2030,"Historical"
"SalmonTrinityReach Mean Ann Boating Days",213.9333,"days","Recreation Boating","HD","CMIP5",2030,"Historical"
"TrinityOceanReach Mean Ann Boating Days",252.9333,"days","Recreation Boating","HD","CMIP5",2030,"Historical"
"Mean Project Supply (Apr-Sep)",361.3104,"KAF","Water Delivery","HD","CMIP5",2030,"Historical"
"Mean Annual UKL Stg and Inflow",1377.9978,"KAF","Water Delivery","HD","CMIP5",2030,"Historical"
"Mean Annual Shasta Flow",187.6871,"cfs","Water Delivery","HD","CMIP5",2030,"Historical"
"Mean Annual Scott Flow",668.7854,"cfs","Water Delivery","HD","CMIP5",2030,"Historical"
"Mean Annual MWAT",75.7443,"degF","Water Quality","HD","CMIP5",2030,"Historical"
"Mean exceedence of MWAT - Poor",12.0643,"degF","Water Quality","HD","CMIP5",2030,"Historical"
"Frequency Meeting Dry Year Fish Targets Scott",64.5523,"% of Days","Ecological Resources","HD","CMIP5",2030,"Baseline"
"Frequency Meeting Dry Year Fish Targets Shasta",51.9668,"% of Days","Ecological Resources","HD","CMIP5",2030,"Baseline"
"Mean Annual Water Delivery to LKNWR",11.8981,"KAF","Ecological Resources","HD","CMIP5",2030,"Baseline"
"Mean Annual Hydropower Generated (MW)",23340.3422,"MW","Hydropower","HD","CMIP5",2030,"Baseline"
"Boyle Mean Spill Volume per Year",183.0942,"KAF","Hydropower","HD","CMIP5",2030,"Baseline"
"Copco1 Mean Spill Volume per Year",203.2339,"KAF","Hydropower","HD","CMIP5",2030,"Baseline"
"Iron Gate Mean Spill Volume per Year",456.6857,"KAF","Hydropower","HD","CMIP5",2030,"Baseline"
"Boyle Mean Spill Days per Year",156.8,"days","Hydropower","HD","CMIP5",2030,"Baseline"
"Copco1 Mean Spill Days per Year",37.1,"days","Hydropower","HD","CMIP5",2030,"Baseline"
"Iron Gate Mean Spill Days per Year",115,"days","Hydropower","HD","CMIP5",2030,"Baseline"
"Freq of UKL Flood Control Release",38.213,"Percent of Days","Flood Control","HD","CMIP5",2030,"Baseline"
"Mean Ann UKL Flood Control Release Volume",215.3164,"KAF","Flood Control","HD","CMIP5",2030,"Baseline"
"KenoReach Mean Ann Fishing Days",266.5333,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline"
"BoyleReach Mean Ann Fishing Days",193.7667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline"
"HellsCornerReach Mean Ann Fishing Days",271.5667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline"
"IGScottReach Mean Ann Fishing Days",287.5333,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline"
"ScottSalmonReach Mean Ann Fishing Days",210.2333,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline"
"SalmonTrinityReach Mean Ann Fishing Days",242.2667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline"
"TrinityOceanReach Mean Ann Fishing Days",273.9667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline"
"KenoReach Mean Ann Boating Days",152.0333,"days","Recreation Boating","HD","CMIP5",2030,"Baseline"
"BoyleReach Mean Ann Boating Days",46.6,"days","Recreation Boating","HD","CMIP5",2030,"Baseline"
"HellsCornerReach Mean Ann Boating Days",180.8667,"days","Recreation Boating","HD","CMIP5",2030,"Baseline"
"IGScottReach Mean Ann Boating Days",287.5333,"days","Recreation Boating","HD","CMIP5",2030,"Baseline"
"ScottSalmonReach Mean Ann Boating Days",260.2333,"days","Recreation Boating","HD","CMIP5",2030,"Baseline"
"SalmonTrinityReach Mean Ann Boating Days",242.2667,"days","Recreation Boating","HD","CMIP5",2030,"Baseline"
"TrinityOceanReach Mean Ann Boating Days",273.9667,"days","Recreation Boating","HD","CMIP5",2030,"Baseline"
"Mean Project Supply (Apr-Sep)",339.2009,"KAF","Water Delivery","HD","CMIP5",2030,"Baseline"
"Mean Annual UKL Stg and Inflow",1247.6567,"KAF","Water Delivery","HD","CMIP5",2030,"Baseline"
"Mean Annual Shasta Flow",173.1132,"cfs","Water Delivery","HD","CMIP5",2030,"Baseline"
"Mean Annual Scott Flow",588.4362,"cfs","Water Delivery","HD","CMIP5",2030,"Baseline"
"Mean Annual MWAT",80.5357,"degF","Water Quality","HD","CMIP5",2030,"Baseline"
"Mean exceedence of MWAT - Poor",16.8557,"degF","Water Quality","HD","CMIP5",2030,"Baseline"
"Frequency Meeting Dry Year Fish Targets Scott",63.9956,"% of Days","Ecological Resources","HD","CMIP5",2030,"Reduce
ET 30%"
"Frequency Meeting Dry Year Fish Targets Shasta",51.2458,"% of Days","Ecological Resources","HD","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual Water Delivery to LKNWR",13.9031,"KAF","Ecological Resources","HD","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual Hydropower Generated (MW)",23474.2121,"MW","Hydropower","HD","CMIP5",2030,"Reduce
ET 30%"
"Boyle Mean Spill Volume per Year",184.1748,"KAF","Hydropower","HD","CMIP5",2030,"Reduce
ET 30%"
"Copco1 Mean Spill Volume per Year",204.3828,"KAF","Hydropower","HD","CMIP5",2030,"Reduce
ET 30%"
"Iron Gate Mean Spill Volume per Year",459.9391,"KAF","Hydropower","HD","CMIP5",2030,"Reduce
ET 30%"
"Boyle Mean Spill Days per Year",157,"days","Hydropower","HD","CMIP5",2030,"Reduce
ET 30%"
"Copco1 Mean Spill Days per Year",37.2667,"days","Hydropower","HD","CMIP5",2030,"Reduce
ET 30%"
"Iron Gate Mean Spill Days per Year",116.5333,"days","Hydropower","HD","CMIP5",2030,"Reduce
ET 30%"
"Freq of UKL Flood Control Release",37.3734,"Percent of Days","Flood Control","HD","CMIP5",2030,"Reduce
ET 30%"
"Mean Ann UKL Flood Control Release Volume",215.9935,"KAF","Flood Control","HD","CMIP5",2030,"Reduce
ET 30%"
"KenoReach Mean Ann Fishing Days",265.9333,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 30%"
"BoyleReach Mean Ann Fishing Days",193.0667,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 30%"
"HellsCornerReach Mean Ann Fishing Days",270.9333,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 30%"
"IGScottReach Mean Ann Fishing Days",287.2333,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 30%"
"ScottSalmonReach Mean Ann Fishing Days",210.2667,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 30%"
"SalmonTrinityReach Mean Ann Fishing Days",242.3,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 30%"
"TrinityOceanReach Mean Ann Fishing Days",273.7333,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 30%"
"KenoReach Mean Ann Boating Days",153.0333,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 30%"
"BoyleReach Mean Ann Boating Days",47.0333,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 30%"
"HellsCornerReach Mean Ann Boating Days",182.0333,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 30%"
"IGScottReach Mean Ann Boating Days",287.2333,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 30%"
"ScottSalmonReach Mean Ann Boating Days",260.7667,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 30%"
"SalmonTrinityReach Mean Ann Boating Days",242.3,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 30%"
"TrinityOceanReach Mean Ann Boating Days",273.7333,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 30%"
"Mean Project Supply (Apr-Sep)",340.6088,"KAF","Water Delivery","HD","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual UKL Stg and Inflow",1254.6907,"KAF","Water Delivery","HD","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual Shasta Flow",173.8419,"cfs","Water Delivery","HD","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual Scott Flow",589.9414,"cfs","Water Delivery","HD","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual MWAT",80.5357,"degF","Water Quality","HD","CMIP5",2030,"Reduce
ET 30%"
"Mean exceedence of MWAT - Poor",16.8557,"degF","Water Quality","HD","CMIP5",2030,"Reduce
ET 30%"
"Frequency Meeting Dry Year Fish Targets Scott",63.083,"% of Days","Ecological Resources","HD","CMIP5",2030,"Reduce
ET 50%"
"Frequency Meeting Dry Year Fish Targets Shasta",50.5795,"% of Days","Ecological Resources","HD","CMIP5",2030,"Reduce
ET 50%"
"Mean Annual Water Delivery to LKNWR",15.2415,"KAF","Ecological Resources","HD","CMIP5",2030,"Reduce
ET 50%"
"Mean Annual Hydropower Generated (MW)",23568.7151,"MW","Hydropower","HD","CMIP5",2030,"Reduce
ET 50%"
"Boyle Mean Spill Volume per Year",184.7881,"KAF","Hydropower","HD","CMIP5",2030,"Reduce
ET 50%"
"Copco1 Mean Spill Volume per Year",205.1439,"KAF","Hydropower","HD","CMIP5",2030,"Reduce
ET 50%"
"Iron Gate Mean Spill Volume per Year",462.8315,"KAF","Hydropower","HD","CMIP5",2030,"Reduce
ET 50%"
"Boyle Mean Spill Days per Year",157.1,"days","Hydropower","HD","CMIP5",2030,"Reduce
ET 50%"
"Copco1 Mean Spill Days per Year",37.5667,"days","Hydropower","HD","CMIP5",2030,"Reduce
ET 50%"
"Iron Gate Mean Spill Days per Year",117.3333,"days","Hydropower","HD","CMIP5",2030,"Reduce
ET 50%"
"Freq of UKL Flood Control Release",37.6198,"Percent of Days","Flood Control","HD","CMIP5",2030,"Reduce
ET 50%"
"Mean Ann UKL Flood Control Release Volume",217.2388,"KAF","Flood Control","HD","CMIP5",2030,"Reduce
ET 50%"
"KenoReach Mean Ann Fishing Days",265.4,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 50%"
"BoyleReach Mean Ann Fishing Days",192.1,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 50%"
"HellsCornerReach Mean Ann Fishing Days",270.0333,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 50%"
"IGScottReach Mean Ann Fishing Days",286.7,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 50%"
"ScottSalmonReach Mean Ann Fishing Days",210.7333,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 50%"
"SalmonTrinityReach Mean Ann Fishing Days",242.5,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 50%"
"TrinityOceanReach Mean Ann Fishing Days",273.7333,"days","Recreation Fishing","HD","CMIP5",2030,"Reduce
ET 50%"
"KenoReach Mean Ann Boating Days",153.9,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 50%"
"BoyleReach Mean Ann Boating Days",47.4333,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 50%"
"HellsCornerReach Mean Ann Boating Days",182.9667,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 50%"
"IGScottReach Mean Ann Boating Days",286.7,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 50%"
"ScottSalmonReach Mean Ann Boating Days",261.2667,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 50%"
"SalmonTrinityReach Mean Ann Boating Days",242.5,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 50%"
"TrinityOceanReach Mean Ann Boating Days",273.7333,"days","Recreation Boating","HD","CMIP5",2030,"Reduce
ET 50%"
"Mean Project Supply (Apr-Sep)",341.8316,"KAF","Water Delivery","HD","CMIP5",2030,"Reduce
ET 50%"
"Mean Annual UKL Stg and Inflow",1259.8615,"KAF","Water Delivery","HD","CMIP5",2030,"Reduce
ET 50%"
"Mean Annual Shasta Flow",174.603,"cfs","Water Delivery","HD","CMIP5",2030,"Reduce
ET 50%"
"Mean Annual Scott Flow",591.2283,"cfs","Water Delivery","HD","CMIP5",2030,"Reduce
ET 50%"
"Mean Annual MWAT",80.5409,"degF","Water Quality","HD","CMIP5",2030,"Reduce
ET 50%"
"Mean exceedence of MWAT - Poor",16.8609,"degF","Water Quality","HD","CMIP5",2030,"Reduce
ET 50%"
"Frequency Meeting Dry Year Fish Targets Scott",64.5523,"% of Days","Ecological Resources","HD","CMIP5",2030,"Add
30KAF"
"Frequency Meeting Dry Year Fish Targets Shasta",51.9668,"% of Days","Ecological Resources","HD","CMIP5",2030,"Add
30KAF"
"Mean Annual Water Delivery to LKNWR",12.5279,"KAF","Ecological Resources","HD","CMIP5",2030,"Add
30KAF"
"Mean Annual Hydropower Generated (MW)",23724.9525,"MW","Hydropower","HD","CMIP5",2030,"Add
30KAF"
"Boyle Mean Spill Volume per Year",190.2479,"KAF","Hydropower","HD","CMIP5",2030,"Add
30KAF"
"Copco1 Mean Spill Volume per Year",211.7199,"KAF","Hydropower","HD","CMIP5",2030,"Add
30KAF"
"Iron Gate Mean Spill Volume per Year",473.931,"KAF","Hydropower","HD","CMIP5",2030,"Add
30KAF"
"Boyle Mean Spill Days per Year",158,"days","Hydropower","HD","CMIP5",2030,"Add
30KAF"
"Copco1 Mean Spill Days per Year",38.2333,"days","Hydropower","HD","CMIP5",2030,"Add
30KAF"
"Iron Gate Mean Spill Days per Year",119.4,"days","Hydropower","HD","CMIP5",2030,"Add
30KAF"
"Freq of UKL Flood Control Release",39.801,"Percent of Days","Flood Control","HD","CMIP5",2030,"Add
30KAF"
"Mean Ann UKL Flood Control Release Volume",224.9691,"KAF","Flood Control","HD","CMIP5",2030,"Add
30KAF"
"KenoReach Mean Ann Fishing Days",262.6667,"days","Recreation Fishing","HD","CMIP5",2030,"Add
30KAF"
"BoyleReach Mean Ann Fishing Days",190.4667,"days","Recreation Fishing","HD","CMIP5",2030,"Add
30KAF"
"HellsCornerReach Mean Ann Fishing Days",267.8,"days","Recreation Fishing","HD","CMIP5",2030,"Add
30KAF"
"IGScottReach Mean Ann Fishing Days",286.6667,"days","Recreation Fishing","HD","CMIP5",2030,"Add
30KAF"
"ScottSalmonReach Mean Ann Fishing Days",210.2333,"days","Recreation Fishing","HD","CMIP5",2030,"Add
30KAF"
"SalmonTrinityReach Mean Ann Fishing Days",241.9667,"days","Recreation Fishing","HD","CMIP5",2030,"Add
30KAF"
"TrinityOceanReach Mean Ann Fishing Days",273.7,"days","Recreation Fishing","HD","CMIP5",2030,"Add
30KAF"
"KenoReach Mean Ann Boating Days",154.5333,"days","Recreation Boating","HD","CMIP5",2030,"Add
30KAF"
"BoyleReach Mean Ann Boating Days",47.6333,"days","Recreation Boating","HD","CMIP5",2030,"Add
30KAF"
"HellsCornerReach Mean Ann Boating Days",182.5667,"days","Recreation Boating","HD","CMIP5",2030,"Add
30KAF"
"IGScottReach Mean Ann Boating Days",286.6667,"days","Recreation Boating","HD","CMIP5",2030,"Add
30KAF"
"ScottSalmonReach Mean Ann Boating Days",260.5333,"days","Recreation Boating","HD","CMIP5",2030,"Add
30KAF"
"SalmonTrinityReach Mean Ann Boating Days",241.9667,"days","Recreation Boating","HD","CMIP5",2030,"Add
30KAF"
"TrinityOceanReach Mean Ann Boating Days",273.7,"days","Recreation Boating","HD","CMIP5",2030,"Add
30KAF"
"Mean Project Supply (Apr-Sep)",345.5461,"KAF","Water Delivery","HD","CMIP5",2030,"Add
30KAF"
"Mean Annual UKL Stg and Inflow",1270.2047,"KAF","Water Delivery","HD","CMIP5",2030,"Add
30KAF"
"Mean Annual Shasta Flow",173.1132,"cfs","Water Delivery","HD","CMIP5",2030,"Add
30KAF"
"Mean Annual Scott Flow",588.4362,"cfs","Water Delivery","HD","CMIP5",2030,"Add
30KAF"
"Mean Annual MWAT",80.5391,"degF","Water Quality","HD","CMIP5",2030,"Add
30KAF"
"Mean exceedence of MWAT - Poor",16.8591,"degF","Water Quality","HD","CMIP5",2030,"Add
30KAF"
"Frequency Meeting Dry Year Fish Targets Scott",70.5029,"% of Days","Ecological Resources","HD","CMIP5",2070,"Historical"
"Frequency Meeting Dry Year Fish Targets Shasta",56.8769,"% of Days","Ecological Resources","HD","CMIP5",2070,"Historical"
"Mean Annual Water Delivery to LKNWR",24.6143,"KAF","Ecological Resources","HD","CMIP5",2070,"Historical"
"Mean Annual Hydropower Generated (MW)",26741.1142,"MW","Hydropower","HD","CMIP5",2070,"Historical"
"Boyle Mean Spill Volume per Year",163.0602,"KAF","Hydropower","HD","CMIP5",2070,"Historical"
"Copco1 Mean Spill Volume per Year",186.3791,"KAF","Hydropower","HD","CMIP5",2070,"Historical"
"Iron Gate Mean Spill Volume per Year",533.8601,"KAF","Hydropower","HD","CMIP5",2070,"Historical"
"Boyle Mean Spill Days per Year",105.9,"days","Hydropower","HD","CMIP5",2070,"Historical"
"Copco1 Mean Spill Days per Year",42.8,"days","Hydropower","HD","CMIP5",2070,"Historical"
"Iron Gate Mean Spill Days per Year",170.3333,"days","Hydropower","HD","CMIP5",2070,"Historical"
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","HD","CMIP5",2070,"Historical"
"Mean Ann UKL Flood Control Release Volume",224.4786,"KAF","Flood Control","HD","CMIP5",2070,"Historical"
"KenoReach Mean Ann Fishing Days",247.6667,"days","Recreation Fishing","HD","CMIP5",2070,"Historical"
"BoyleReach Mean Ann Fishing Days",154.9,"days","Recreation Fishing","HD","CMIP5",2070,"Historical"
"HellsCornerReach Mean Ann Fishing Days",220.4333,"days","Recreation Fishing","HD","CMIP5",2070,"Historical"
"IGScottReach Mean Ann Fishing Days",274.7333,"days","Recreation Fishing","HD","CMIP5",2070,"Historical"
"ScottSalmonReach Mean Ann Fishing Days",183.9667,"days","Recreation Fishing","HD","CMIP5",2070,"Historical"
"SalmonTrinityReach Mean Ann Fishing Days",213.9333,"days","Recreation Fishing","HD","CMIP5",2070,"Historical"
"TrinityOceanReach Mean Ann Fishing Days",252.9333,"days","Recreation Fishing","HD","CMIP5",2070,"Historical"
